CollectionTime,9/25/2024 11:33:54 AM
ExposureUsed,3
CalibratedSpectrum
-962.7078968117929,504
-959.9714848408522,526
-957.2358232597828,511
-954.5009119013725,556
-951.7667505983302,574
-949.0333391832855,550
-946.3006774887896,542
-943.5687653473143,529
-940.837602591253,504
-938.1071890529199,541
-935.3775245645503,538
-932.6486089583007,536
-929.9204420662485,524
-927.1930237203925,597
-924.4663537526524,575
-921.7404319948689,556
-919.0152582788041,597
-916.2908324361409,623
-913.5671542984834,603
-910.8442236973568,601
-908.1220404642074,550
-905.4006044304027,603
-902.679915427231,630
-899.959973285902,519
-897.2407778375464,581
-894.5223289132158,585
-891.8046263438832,542
-889.0876699604426,518
-886.3714595937089,513
-883.6559950744183,526
-880.9412762332282,522
-878.2273029007168,518
-875.5140749073835,502
-872.8015920836489,516
-870.0898542598545,501
-867.3788612662631,514
-864.6686129330585,499
-861.9591090903457,502
-859.2503495681506,501
-856.5423341964203,489
-853.8350628050229,484
-851.1285352237478,526
-848.4227512823054,521
-845.7177108103272,565
-843.0134136373656,525
-840.3098595928943,553
-837.6070485063082,558
-834.9049802069229,529
-832.2036545239757,545
-829.5030712866244,523
-826.8032303239481,514
-824.1041314649472,504
-821.4057745385428,516
-818.7081593735775,503
-816.0112857988148,541
-813.3151536429393,544
-810.6197627345566,553
-807.9251129021936,520
-805.2312039742981,532
-802.5380357792392,512
-799.8456081453069,537
-797.1539209007124,552
-794.462973873588,548
-791.772766891987,533
-789.083299783884,564
-786.3945723771743,524
-783.7065844996748,549
-781.0193359791231,532
-778.3328266431781,572
-775.6470563194197,537
-772.9620248353489,521
-770.2777320183878,530
-767.5941776958798,533
-764.9113616950891,521
-762.2292838432011,542
-759.5479439673222,513
-756.8673418944801,518
-754.1874774516235,548
-751.5083504656222,568
-748.8299607632671,544
-746.15230817127,534
-743.475392516264,572
-740.7992136248035,574
-738.1237713233636,566
-735.4490654383407,529
-732.7750957960521,511
-730.1018622227365,539
-727.4293645445534,563
-724.7576025875837,562
-722.0865761778291,536
-719.4162851412126,580
-716.7467293035781,599
-714.0779084906909,633
-711.409822528237,562
-708.7424712418238,592
-706.0758544569796,568
-703.4099719991541,584
-700.7448236937178,529
-698.0804093659622,558
-695.4167288411002,573
-692.7537819442656,541
-690.0915685005134,582
-687.4300883348199,603
-684.7693412720819,607
-682.1093271371178,585
-679.4500457546669,594
-676.7914969493897,561
-674.1336805458676,589
-671.4765963686034,574
-668.8202442420206,564
-666.1646239904642,591
-663.5097354382001,568
-660.8555784094151,571
-658.2021527282176,591
-655.5494582186366,561
-652.8974947046223,572
-650.2462620100463,605
-647.5957599587009,607
-644.9459883742998,606
-642.2969470804776,593
-639.6486359007902,596
-637.0010546587141,599
-634.3542031776476,614
-631.7080812809096,634
-629.0626887917401,610
-626.4180255333008,642
-623.7740913286734,691
-621.1308860008619,692
-618.4884093727904,705
-615.8466612673046,662
-613.2056415071715,630
-610.5653499150785,613
-607.9257863136347,706
-605.28695052537,666
-602.6488423727357,632
-600.0114616781036,641
-597.3748082637674,694
-594.7388819519412,717
-592.1036825647604,725
-589.4692099242818,724
-586.8354638524829,765
-584.2024441712624,753
-581.5701507024403,709
-578.9385832677575,676
-576.3077416888759,659
-573.6776257873787,689
-571.0482353847704,667
-568.4195703024757,652
-565.7916303618415,674
-563.164415384135,694
-560.5379251905453,688
-557.9121596021815,681
-555.2871184400748,626
-552.6628015251767,674
-550.0392086783606,703
-547.4163397204204,746
-544.794194472071,705
-542.1727727539491,711
-539.5520743866118,708
-536.9320991905377,727
-534.3128469861261,780
-531.6943175936979,797
-529.0765108334947,840
-526.4594265256793,923
-523.8430644903358,1058
-521.2274245474689,1235
-518.612506517005,1289
-515.9983102187913,1343
-513.3848354725959,1480
-510.77208209810846,1730
-508.16004991493924,2004
-505.5487387426199,2243
-502.9381484006032,2199
-500.3282787082628,2125
-497.71912948489364,1909
-495.1107005497117,1680
-492.5029917218539,1316
-489.8960028203786,1164
-487.28973366426493,1061
-484.68418407241325,920
-482.07935386364494,939
-479.47524285670266,843
-476.87185087025,860
-474.2691777228715,856
-471.66722323307334,860
-469.0659872192821,852
-466.4654694998459,846
-463.86566989303384,852
-461.26658821703614,818
-458.66822428996414,848
-456.07057792985,867
-453.4736489546475,901
-450.877437182231,889
-448.28194243039627,845
-445.68716451686,798
-443.09310325926003,806
-440.49975847515555,855
-437.9071299820263,801
-435.31521759727354,881
-432.72402113821954,886
-430.13354042210767,892
-427.5437752661022,906
-424.95472548728867,860
-422.36639090267386,873
-419.7787713291855,893
-417.1918665836721,956
-414.60567648290385,954
-412.0202008435715,971
-409.4354394822874,906
-406.8513922155845,884
-404.26805885991723,922
-401.685439231661,1003
-399.103533147112,915
-396.522340422488,881
-393.9418608739278,917
-391.3620943174908,877
-388.7830405691583,894
-386.2046994448317,875
-383.6270707603344,877
-381.05015433141045,853
-378.473949973725,798
-375.8984575028645,797
-373.32367673433623,772
-370.74960748356875,792
-368.1762495659117,709
-365.60360279663576,679
-363.03166699093265,652
-360.4604419639154,629
-357.8899275306178,604
-355.32012350599507,519
-352.7510297049233,567
-350.1826459421999,524
-347.61497203254316,542
-345.04800779059235,530
-342.4817530309082,571
-339.91620756797226,677
-337.35137121618743,644
-334.7872437898774,658
-332.22382510328725,716
-329.66111497058273,663
-327.09911320585127,647
-324.53781962310075,580
-321.9772340362607,573
-319.4173562591816,635
-316.8581861056348,587
-314.2997233893127,579
-311.7419679238294,572
-309.1849195227194,583
-306.62857799943856,606
-304.0729431673641,637
-301.51801483979375,666
-298.963792829947,636
-296.41027695096386,606
-293.85746701590574,644
-291.3053628377552,894
-288.7539642294155,832
-286.2032710037115,733
-283.65328297338897,739
-281.1039999511146,831
-278.5554217494762,958
-276.007548180983,1033
-273.4603790580651,933
-270.9139141930734,793
-268.3681533982807,734
-265.8230964858798,709
-263.27874326798565,802
-260.7350935566336,815
-258.1921471637804,872
-255.6499039013039,919
-253.10836358100266,774
-250.56752601459698,812
-248.02739101372765,872
-245.48795838995704,977
-242.94922795476816,975
-240.41119951956557,870
-237.8738728956746,839
-235.33724789434166,968
-232.80132432673452,970
-230.2661020039418,882
-227.73158073697357,891
-225.19776033676033,1054
-222.66464061415422,1190
-220.1322213799284,1032
-217.60050244477725,855
-215.06948361931552,892
-212.53916471408013,1033
-210.00954553952818,1186
-207.48062590603843,1231
-204.9524056239104,1115
-202.4248845033651,1220
-199.8980623545441,1122
-197.37193898751036,1189
-194.84651421224817,1180
-192.32178783866232,1032
-189.79775967657952,1201
-187.27442953574644,1285
-184.7517972258321,1349
-182.2298625564256,1322
-179.7086253370378,1202
-177.18808537710026,1261
-174.66824248596583,1696
-172.14909647290835,1748
-169.6306471471229,1428
-167.11289431772548,1104
-164.59583779375328,1143
-162.07947738416453,1327
-159.5638128978386,1523
-157.04884414357605,1638
-154.53457093009854,1808
-152.02099306604828,1546
-149.50811035998936,1300
-146.99592262040665,1211
-144.48442965570587,1605
-141.97363127421409,2057
-139.46352728417958,2397
-136.95411749377126,2417
-134.44540171107985,1870
-131.93737974411636,1455
-129.43005140081357,1498
-126.92341648902493,2145
-124.41747481652521,3065
-121.91222619101006,4446
-119.40767042009657,5238
-116.90380731132257,5690
-114.40063667214702,5152
-111.8981583099503,4406
-109.3963720320337,4456
-106.89527764561933,4401
-104.39487495785067,4723
-101.89516377579241,6648
-99.39614390642998,8771
-96.89781515667039,11597
-94.40017733334128,11544
-91.90323024319173,9919
-89.40697369289148,8634
-86.91140748903172,6690
-84.41653143812482,6988
-81.92234534660395,9075
-79.42884902082358,12989
-76.93604226705907,15652
-74.4439248915071,19434
-71.95249670028534,28648
-69.46175749943245,39886
-66.97170709490854,51993
-64.48234529259423,60517
-61.99367189829195,63759
-59.50568671772464,55294
-57.01838955653636,40040
-54.53178022029283,30612
-52.045858514480074,28979
-49.560624244506016,25140
-47.07607721569923,23249
-44.59221723330904,23321
-42.10904410250669,22649
-39.62655762838392,20161
-37.14475761595372,17108
-34.66364387015028,19923
-32.18321619582866,20280
-29.70347439776515,25027
-27.224418280657005,30595
-24.74604764912317,37156
-22.26836230770266,62197
-19.7913620608565,65040
-17.315046712966478,65040
-14.83941606833514,65040
-12.36446993118659,65040
-9.89020810566592,65040
-7.416630395839093,65040
-4.94373660569363,65040
-2.471526539137585,65040
-6.821210263296962E-13,65040
2.47084320796705,65040
4.941003281093458,65040
7.410480415786196,65040
9.879274808531363,65040
12.347386655893956,65040
14.814816154518212,65040
17.28156350112681,65040
19.74762889252179,65040
22.21301252558385,26752
24.67771459727237,7887
27.141735304626195,6071
29.605074844762612,5986
32.06773341487792,5906
34.52971121224755,4590
36.99100843422559,4863
39.45162527824516,7590
41.91156194181792,7671
44.370818622535126,5425
46.82939551806646,4652
49.287292826160524,4591
51.74451074464503,4551
54.201049471426245,5639
56.65690920448981,4729
59.112090141899785,3918
61.56659248179983,3889
64.02041642241159,2690
66.4735621620365,2673
68.92602989905402,2717
71.37781983192338,2634
73.82893215918205,2252
76.27936707944684,2801
78.72912479141326,3382
81.17820549385567,3062
83.62660938562783,2845
86.07433666566146,2852
88.5213875329681,3410
90.96776218663751,2542
93.41346082583925,1786
95.85848364982041,1916
98.30283085790859,2346
100.7465026495089,2884
103.18949922410604,2774
105.63182078126385,3377
108.07346752062438,2741
110.51443964190923,2044
112.95473734491827,1695
115.39436082953114,1388
117.83331029570547,1544
120.27158594347827,1804
122.7091879729652,1903
125.1461165843615,2030
127.58237197794062,1497
130.01795435405518,1553
132.4528639131364,1671
134.88710085569494,1934
137.32066538231982,1775
139.75355769367923,1588
142.1857779905207,1437
144.61732647366978,1491
147.04820334403132,1569
149.47840880258934,1675
151.90794305040674,1418
154.33680628862487,1411
156.76499871846443,1579
159.19252054122433,1780
161.61937195828352,1846
164.04555317109896,1847
166.47106438120693,1934
168.89590579022217,2174
171.320077599839,2231
173.7435800118302,2151
176.16641322804742,2317
178.58857745042144,2440
181.01007288096173,2539
183.43089972175687,2618
185.85105817497413,2589
188.27054844285988,2482
190.6893707277394,2476
193.10752523201643,2485
195.5250121581745,2410
197.9418317087751,2525
200.3579840864594,2318
202.7734694939469,2534
205.18828813403627,2533
207.6024402096051,2646
210.01592592360964,2523
212.42874547908548,2651
214.84089907914665,2672
217.2523869269868,2459
219.66320922587727,2600
222.0733661791695,2569
224.48285799029293,2500
226.8916848627572,2370
229.29984700014882,2560
231.7073446061355,2572
234.11417788446204,2469
236.520347038953,2479
238.92585227351185,2349
241.33069379212054,2513
243.73487179884035,2457
246.1383864978112,2608
248.541238093252,2605
250.9434267894609,2451
253.34495279081432,2456
255.74581630176783,2482
258.1460175268563,2512
260.54555667069314,2427
262.9444339379703,2440
265.3426495334594,2515
267.7402036620107,2593
270.1370965285529,2648
272.53332833809407,2658
274.9288992957214,2568
277.32380960660055,2494
279.718059475976,2467
282.1116491091717,2467
284.5045787115897,2530
286.89684848871195,2401
289.2884586460981,2465
291.67940938938807,2531
294.0697009242996,2556
296.4593334566299,2596
298.84830719225477,2535
301.23662233712923,2584
303.6242790972866,2609
306.01127767884,2558
308.39761828798066,2372
310.78330113097934,2345
313.16832641418534,2333
315.5526943440269,2306
317.9364051270112,2297
320.3194589697242,2263
322.70185607883093,2283
325.0835966610754,2308
327.4646809232805,2310
329.8451090723478,2205
332.2248813152577,2201
334.6039978590701,2205
336.9824589109231,2160
339.36026467803447,2199
341.7374153677,2177
344.113911187295,2040
346.48975234427337,2068
348.8649390461686,2046
351.2394715005918,2036
353.61334991523415,2031
355.9865744978655,2082
358.35914545633375,2093
360.73106299856715,2043
363.10232733257146,2114
365.47293866643247,2036
367.84289720831396,2067
370.2122031664593,2018
372.5808567491905,1942
374.9488581649083,2040
377.31620762209275,1943
379.6829053293021,1888
382.0489514951745,1950
384.4143463284262,1951
386.7790900378528,1877
389.14318283232853,1876
391.50662492080653,1931
393.86941651231916,1935
396.23155781597745,2016
398.5930490409713,2030
400.9538903965696,1899
403.3140820921202,1973
405.6736243370498,1956
408.03251734086336,1952
410.3907613131465,2039
412.74835646356166,1983
415.10530300185144,2004
417.4616011378372,1922
419.81725108141893,1876
422.1722530425758,1863
424.5266072313656,1947
426.880313857925,1873
429.2333731324701,1858
431.58578526529516,1855
433.9375504667738,1831
436.2886689473588,1873
438.63914091758113,1847
440.9889665880513,1817
443.33814616945835,1804
445.68667987257015,1805
448.03456790823395,1789
450.3818104873759,1824
452.72840782100013,1847
455.07436012019105,1800
457.41966759611057,1762
459.7643304600007,1832
462.10834892318155,1791
464.4517231970525,1852
466.79445349309174,1820
469.1365400228566,1844
471.4779829979826,1799
473.81878263018564,1852
476.15893913125876,1882
478.4984527130747,1895
480.8373235875855,1996
483.17555196682144,2067
485.5131380628919,2080
487.8500820879857,2092
490.1863842543697,2232
492.52204477439034,2375
494.8570638604725,2490
497.1914417251204,3046
499.52517858091653,3722
501.85827464052306,4133
504.19073011668036,4749
506.5225452222086,5075
508.85372017000566,5057
511.18425517304956,5144
513.514150444396,5310
515.8434061971808,6031
518.1720226446176,6712
520.4999999999999,6763
522.8273384766991,6195
525.1540382881666,5708
527.480099647932,4849
529.8055227696037,3896
532.1303078668694,2916
534.454455153496,2460
536.777964843328,2155
539.1008371502907,2165
541.4230722883866,2043
543.744670471698,1937
546.0656319143858,1875
548.3859568306899,1948
550.7056454349294,1932
553.0246979415016,1983
555.3431145648834,1964
557.6608955196306,1872
559.978041020377,1847
562.2945512818363,1865
564.6104265188006,1850
566.9256669461412,1816
569.2402727788082,1873
571.5542442318302,1891
573.8675815203156,1753
576.1802848594508,1857
578.4923544645015,1891
580.8037905508126,1868
583.114593333807,1916
585.4247630289875,1806
587.7342998519354,1835
590.0432040183106,1767
592.3514757438526,1871
594.6591152443794,1893
596.9661227357875,1870
599.2724984340531,1908
601.578242555231,1811
603.8833553154542,1803
606.1878369309362,1867
608.4916876179676,1826
610.7949075929192,1796
613.0974970722403,1855
615.3994562724587,1873
617.7007854101818,1860
620.0014847020951,1841
622.3015543649641,1759
624.6009946156324,1826
626.8998056710224,1888
629.1979877481361,1871
631.4955410640538,1843
633.7924658359349,1854
636.0887622810175,1868
638.3844306166192,1856
640.6794710601358,1874
642.9738838290426,1890
645.2676691408932,1904
647.5608272133207,1847
649.853358264037,1813
652.1452625108324,1822
654.4365401715764,1876
