CollectionTime,9/20/2024 11:36:26 AM
ExposureUsed,3
CalibratedSpectrum
-962.7078968117929,489
-959.9714848408522,515
-957.2358232597828,502
-954.5009119013725,570
-951.7667505983302,528
-949.0333391832855,522
-946.3006774887896,533
-943.5687653473143,561
-940.837602591253,509
-938.1071890529199,522
-935.3775245645503,526
-932.6486089583007,506
-929.9204420662485,526
-927.1930237203925,528
-924.4663537526524,541
-921.7404319948689,522
-919.0152582788041,505
-916.2908324361409,576
-913.5671542984834,496
-910.8442236973568,521
-908.1220404642074,495
-905.4006044304027,474
-902.679915427231,479
-899.959973285902,458
-897.2407778375464,475
-894.5223289132158,502
-891.8046263438832,493
-889.0876699604426,538
-886.3714595937089,511
-883.6559950744183,511
-880.9412762332282,531
-878.2273029007168,459
-875.5140749073835,467
-872.8015920836489,503
-870.0898542598545,481
-867.3788612662631,479
-864.6686129330585,526
-861.9591090903457,553
-859.2503495681506,528
-856.5423341964203,502
-853.8350628050229,543
-851.1285352237478,520
-848.4227512823054,514
-845.7177108103272,514
-843.0134136373656,503
-840.3098595928943,482
-837.6070485063082,544
-834.9049802069229,607
-832.2036545239757,549
-829.5030712866244,542
-826.8032303239481,513
-824.1041314649472,524
-821.4057745385428,505
-818.7081593735775,524
-816.0112857988148,544
-813.3151536429393,551
-810.6197627345566,517
-807.9251129021936,507
-805.2312039742981,525
-802.5380357792392,562
-799.8456081453069,537
-797.1539209007124,541
-794.462973873588,533
-791.772766891987,523
-789.083299783884,496
-786.3945723771743,474
-783.7065844996748,502
-781.0193359791231,546
-778.3328266431781,529
-775.6470563194197,514
-772.9620248353489,508
-770.2777320183878,531
-767.5941776958798,511
-764.9113616950891,519
-762.2292838432011,514
-759.5479439673222,480
-756.8673418944801,511
-754.1874774516235,536
-751.5083504656222,525
-748.8299607632671,520
-746.15230817127,527
-743.475392516264,545
-740.7992136248035,585
-738.1237713233636,565
-735.4490654383407,530
-732.7750957960521,499
-730.1018622227365,523
-727.4293645445534,514
-724.7576025875837,533
-722.0865761778291,514
-719.4162851412126,548
-716.7467293035781,547
-714.0779084906909,595
-711.409822528237,608
-708.7424712418238,564
-706.0758544569796,561
-703.4099719991541,566
-700.7448236937178,573
-698.0804093659622,560
-695.4167288411002,592
-692.7537819442656,547
-690.0915685005134,537
-687.4300883348199,531
-684.7693412720819,560
-682.1093271371178,605
-679.4500457546669,572
-676.7914969493897,558
-674.1336805458676,544
-671.4765963686034,557
-668.8202442420206,573
-666.1646239904642,538
-663.5097354382001,544
-660.8555784094151,533
-658.2021527282176,536
-655.5494582186366,584
-652.8974947046223,621
-650.2462620100463,599
-647.5957599587009,572
-644.9459883742998,599
-642.2969470804776,583
-639.6486359007902,627
-637.0010546587141,605
-634.3542031776476,609
-631.7080812809096,630
-629.0626887917401,606
-626.4180255333008,608
-623.7740913286734,607
-621.1308860008619,622
-618.4884093727904,578
-615.8466612673046,584
-613.2056415071715,568
-610.5653499150785,594
-607.9257863136347,634
-605.28695052537,635
-602.6488423727357,608
-600.0114616781036,598
-597.3748082637674,606
-594.7388819519412,615
-592.1036825647604,611
-589.4692099242818,661
-586.8354638524829,656
-584.2024441712624,673
-581.5701507024403,648
-578.9385832677575,689
-576.3077416888759,720
-573.6776257873787,673
-571.0482353847704,627
-568.4195703024757,673
-565.7916303618415,678
-563.164415384135,679
-560.5379251905453,653
-557.9121596021815,648
-555.2871184400748,687
-552.6628015251767,655
-550.0392086783606,680
-547.4163397204204,686
-544.794194472071,731
-542.1727727539491,736
-539.5520743866118,799
-536.9320991905377,809
-534.3128469861261,877
-531.6943175936979,782
-529.0765108334947,792
-526.4594265256793,809
-523.8430644903358,1018
-521.2274245474689,1141
-518.612506517005,1178
-515.9983102187913,1303
-513.3848354725959,1469
-510.77208209810846,1637
-508.16004991493924,1700
-505.5487387426199,1733
-502.9381484006032,1707
-500.3282787082628,1516
-497.71912948489364,1246
-495.1107005497117,1106
-492.5029917218539,995
-489.8960028203786,966
-487.28973366426493,845
-484.68418407241325,796
-482.07935386364494,795
-479.47524285670266,735
-476.87185087025,766
-474.2691777228715,811
-471.66722323307334,841
-469.0659872192821,799
-466.4654694998459,824
-463.86566989303384,799
-461.26658821703614,783
-458.66822428996414,759
-456.07057792985,752
-453.4736489546475,857
-450.877437182231,791
-448.28194243039627,772
-445.68716451686,770
-443.09310325926003,756
-440.49975847515555,741
-437.9071299820263,781
-435.31521759727354,848
-432.72402113821954,864
-430.13354042210767,791
-427.5437752661022,765
-424.95472548728867,826
-422.36639090267386,825
-419.7787713291855,856
-417.1918665836721,862
-414.60567648290385,880
-412.0202008435715,887
-409.4354394822874,851
-406.8513922155845,836
-404.26805885991723,842
-401.685439231661,851
-399.103533147112,855
-396.522340422488,857
-393.9418608739278,811
-391.3620943174908,815
-388.7830405691583,833
-386.2046994448317,816
-383.6270707603344,792
-381.05015433141045,791
-378.473949973725,747
-375.8984575028645,760
-373.32367673433623,686
-370.74960748356875,675
-368.1762495659117,658
-365.60360279663576,653
-363.03166699093265,633
-360.4604419639154,571
-357.8899275306178,525
-355.32012350599507,599
-352.7510297049233,570
-350.1826459421999,545
-347.61497203254316,579
-345.04800779059235,593
-342.4817530309082,516
-339.91620756797226,483
-337.35137121618743,539
-334.7872437898774,678
-332.22382510328725,610
-329.66111497058273,581
-327.09911320585127,608
-324.53781962310075,620
-321.9772340362607,557
-319.4173562591816,534
-316.8581861056348,495
-314.2997233893127,539
-311.7419679238294,568
-309.1849195227194,576
-306.62857799943856,592
-304.0729431673641,621
-301.51801483979375,714
-298.963792829947,627
-296.41027695096386,559
-293.85746701590574,589
-291.3053628377552,631
-288.7539642294155,643
-286.2032710037115,646
-283.65328297338897,701
-281.1039999511146,743
-278.5554217494762,751
-276.007548180983,882
-273.4603790580651,832
-270.9139141930734,671
-268.3681533982807,766
-265.8230964858798,724
-263.27874326798565,633
-260.7350935566336,673
-258.1921471637804,742
-255.6499039013039,844
-253.10836358100266,791
-250.56752601459698,776
-248.02739101372765,786
-245.48795838995704,791
-242.94922795476816,795
-240.41119951956557,861
-237.8738728956746,812
-235.33724789434166,834
-232.80132432673452,899
-230.2661020039418,801
-227.73158073697357,732
-225.19776033676033,818
-222.66464061415422,915
-220.1322213799284,905
-217.60050244477725,890
-215.06948361931552,862
-212.53916471408013,901
-210.00954553952818,944
-207.48062590603843,926
-204.9524056239104,808
-202.4248845033651,858
-199.8980623545441,911
-197.37193898751036,1003
-194.84651421224817,1029
-192.32178783866232,1029
-189.79775967657952,1007
-187.27442953574644,925
-184.7517972258321,951
-182.2298625564256,974
-179.7086253370378,962
-177.18808537710026,986
-174.66824248596583,1012
-172.14909647290835,954
-169.6306471471229,1052
-167.11289431772548,1152
-164.59583779375328,1146
-162.07947738416453,1182
-159.5638128978386,1301
-157.04884414357605,1279
-154.53457093009854,1284
-152.02099306604828,1314
-149.50811035998936,1076
-146.99592262040665,1069
-144.48442965570587,1251
-141.97363127421409,1362
-139.46352728417958,1303
-136.95411749377126,1314
-134.44540171107985,1432
-131.93737974411636,1348
-129.43005140081357,1309
-126.92341648902493,1490
-124.41747481652521,1521
-121.91222619101006,1915
-119.40767042009657,2203
-116.90380731132257,2567
-114.40063667214702,3232
-111.8981583099503,3656
-109.3963720320337,4603
-106.89527764561933,6007
-104.39487495785067,7092
-101.89516377579241,7170
-99.39614390642998,9577
-96.89781515667039,15199
-94.40017733334128,22767
-91.90323024319173,28651
-89.40697369289148,26113
-86.91140748903172,20048
-84.41653143812482,12608
-81.92234534660395,7443
-79.42884902082358,8524
-76.93604226705907,13495
-74.4439248915071,17840
-71.95249670028534,20692
-69.46175749943245,20940
-66.97170709490854,18823
-64.48234529259423,17011
-61.99367189829195,15897
-59.50568671772464,15371
-57.01838955653636,18838
-54.53178022029283,22423
-52.045858514480074,24637
-49.560624244506016,25739
-47.07607721569923,27732
-44.59221723330904,25569
-42.10904410250669,19792
-39.62655762838392,20529
-37.14475761595372,28731
-34.66364387015028,33700
-32.18321619582866,39309
-29.70347439776515,42913
-27.224418280657005,43091
-24.74604764912317,41063
-22.26836230770266,43170
-19.7913620608565,56644
-17.315046712966478,65036
-14.83941606833514,65036
-12.36446993118659,65036
-9.89020810566592,65036
-7.416630395839093,65036
-4.94373660569363,65036
-2.471526539137585,65036
-6.821210263296962E-13,65036
2.47084320796705,65036
4.941003281093458,65036
7.410480415786196,65036
9.879274808531363,65036
12.347386655893956,65036
14.814816154518212,65036
17.28156350112681,65036
19.74762889252179,65036
22.21301252558385,65036
24.67771459727237,25767
27.141735304626195,6890
29.605074844762612,6311
32.06773341487792,7832
34.52971121224755,8173
36.99100843422559,5566
39.45162527824516,5344
41.91156194181792,4412
44.370818622535126,4183
46.82939551806646,4576
49.287292826160524,4834
51.74451074464503,4624
54.201049471426245,4441
56.65690920448981,4494
59.112090141899785,4134
61.56659248179983,3439
64.02041642241159,3161
66.4735621620365,3478
68.92602989905402,3645
71.37781983192338,3573
73.82893215918205,3367
76.27936707944684,2399
78.72912479141326,2116
81.17820549385567,1917
83.62660938562783,2073
86.07433666566146,2526
88.5213875329681,2513
90.96776218663751,2272
93.41346082583925,2158
95.85848364982041,2462
98.30283085790859,2193
100.7465026495089,1887
103.18949922410604,1724
105.63182078126385,1793
108.07346752062438,1565
110.51443964190923,1666
112.95473734491827,1555
115.39436082953114,1533
117.83331029570547,1772
120.27158594347827,2322
122.7091879729652,1902
125.1461165843615,1678
127.58237197794062,1765
130.01795435405518,1432
132.4528639131364,1394
134.88710085569494,1427
137.32066538231982,1382
139.75355769367923,1438
142.1857779905207,1508
144.61732647366978,1315
147.04820334403132,1185
149.47840880258934,1268
151.90794305040674,1458
154.33680628862487,1380
156.76499871846443,1448
159.19252054122433,1666
161.61937195828352,1719
164.04555317109896,1683
166.47106438120693,1625
168.89590579022217,1771
171.320077599839,1855
173.7435800118302,1957
176.16641322804742,1971
178.58857745042144,2038
181.01007288096173,2107
183.43089972175687,2148
185.85105817497413,2028
188.27054844285988,1981
190.6893707277394,2109
193.10752523201643,2283
195.5250121581745,2252
197.9418317087751,2169
200.3579840864594,2079
202.7734694939469,2226
205.18828813403627,2403
207.6024402096051,2476
210.01592592360964,2451
212.42874547908548,2373
214.84089907914665,2242
217.2523869269868,2139
219.66320922587727,2275
222.0733661791695,2279
224.48285799029293,2270
226.8916848627572,2325
229.29984700014882,2378
231.7073446061355,2296
234.11417788446204,2292
236.520347038953,2268
238.92585227351185,2217
241.33069379212054,2235
243.73487179884035,2304
246.1383864978112,2299
248.541238093252,2210
250.9434267894609,2219
253.34495279081432,2266
255.74581630176783,2310
258.1460175268563,2294
260.54555667069314,2317
262.9444339379703,2382
265.3426495334594,2330
267.7402036620107,2267
270.1370965285529,2317
272.53332833809407,2266
274.9288992957214,2241
277.32380960660055,2235
279.718059475976,2257
282.1116491091717,2243
284.5045787115897,2175
286.89684848871195,2251
289.2884586460981,2258
291.67940938938807,2271
294.0697009242996,2306
296.4593334566299,2298
298.84830719225477,2312
301.23662233712923,2241
303.6242790972866,2146
306.01127767884,2152
308.39761828798066,2131
310.78330113097934,2265
313.16832641418534,2099
315.5526943440269,2118
317.9364051270112,2043
320.3194589697242,2073
322.70185607883093,2051
325.0835966610754,2084
327.4646809232805,2018
329.8451090723478,1999
332.2248813152577,2005
334.6039978590701,2016
336.9824589109231,1964
339.36026467803447,1937
341.7374153677,1943
344.113911187295,1913
346.48975234427337,1947
348.8649390461686,1876
351.2394715005918,1906
353.61334991523415,1929
355.9865744978655,1944
358.35914545633375,1954
360.73106299856715,1860
363.10232733257146,1887
365.47293866643247,1817
367.84289720831396,1840
370.2122031664593,1803
372.5808567491905,1856
374.9488581649083,1792
377.31620762209275,1862
379.6829053293021,1894
382.0489514951745,1875
384.4143463284262,1845
386.7790900378528,1798
389.14318283232853,1858
391.50662492080653,1841
393.86941651231916,1844
396.23155781597745,1759
398.5930490409713,1781
400.9538903965696,1845
403.3140820921202,1833
405.6736243370498,1822
408.03251734086336,1808
410.3907613131465,1802
412.74835646356166,1730
415.10530300185144,1786
417.4616011378372,1748
419.81725108141893,1759
422.1722530425758,1725
424.5266072313656,1804
426.880313857925,1753
429.2333731324701,1696
431.58578526529516,1782
433.9375504667738,1742
436.2886689473588,1764
438.63914091758113,1706
440.9889665880513,1694
443.33814616945835,1623
445.68667987257015,1739
448.03456790823395,1677
450.3818104873759,1653
452.72840782100013,1703
455.07436012019105,1638
457.41966759611057,1624
459.7643304600007,1687
462.10834892318155,1654
464.4517231970525,1663
466.79445349309174,1599
469.1365400228566,1629
471.4779829979826,1685
473.81878263018564,1663
476.15893913125876,1705
478.4984527130747,1769
480.8373235875855,1828
483.17555196682144,1809
485.5131380628919,1790
487.8500820879857,1818
490.1863842543697,1813
492.52204477439034,1960
494.8570638604725,2053
497.1914417251204,2255
499.52517858091653,2493
501.85827464052306,3008
504.19073011668036,3529
506.5225452222086,3828
508.85372017000566,3984
511.18425517304956,4133
513.514150444396,4543
515.8434061971808,5491
518.1720226446176,5954
520.4999999999999,5659
522.8273384766991,5308
525.1540382881666,4782
527.480099647932,4323
529.8055227696037,3504
532.1303078668694,2525
534.454455153496,2185
536.777964843328,1949
539.1008371502907,1945
541.4230722883866,1835
543.744670471698,1732
546.0656319143858,1754
548.3859568306899,1761
550.7056454349294,1768
553.0246979415016,1650
555.3431145648834,1655
557.6608955196306,1649
559.978041020377,1665
562.2945512818363,1701
564.6104265188006,1683
566.9256669461412,1651
569.2402727788082,1631
571.5542442318302,1712
573.8675815203156,1757
576.1802848594508,1803
578.4923544645015,1698
580.8037905508126,1657
583.114593333807,1692
585.4247630289875,1721
587.7342998519354,1721
590.0432040183106,1678
592.3514757438526,1643
594.6591152443794,1639
596.9661227357875,1646
599.2724984340531,1689
601.578242555231,1663
603.8833553154542,1667
606.1878369309362,1717
608.4916876179676,1674
610.7949075929192,1677
613.0974970722403,1688
615.3994562724587,1582
617.7007854101818,1600
620.0014847020951,1693
622.3015543649641,1724
624.6009946156324,1705
626.8998056710224,1636
629.1979877481361,1681
631.4955410640538,1718
633.7924658359349,1627
636.0887622810175,1651
638.3844306166192,1688
640.6794710601358,1671
642.9738838290426,1676
645.2676691408932,1726
647.5608272133207,1660
649.853358264037,1731
652.1452625108324,1791
654.4365401715764,1780
656.7271914642178,1773
659.0172166067838,1737
