Experiment Number,G Band Area Result,Diameter Control Result,Patch,Pillar,C2H4 Flow Rate [sccm],Ar/CO2 Flow Rate [sccm],CO2 Flow Rate [sccm],Temperature [C],Water [ppm],Pressure [Torr],488 control,633 control,785 control,488 diff,633 diff,785 diff,Control Center,488 raw control,488 raw center,633 raw control,633 raw center,785 raw control,785 raw center,Control Width,Total Control,Mean Control,488 Agreement,633 Agreement,785 Agreement,Mean Agreement
108,5.67382427,0.462957142,50,17,70,348,34.8,756.6,1.01,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,6.00284967,0.786180072,50,18,62.5,309.5,30.95,685.35,1.01,10,0.252124154,0.165795137,0.635164442,-0.495751692,-0.668409725,0.270328884,235.2873815,0.725131228,267.1816406,0.198670451,301.6645508,0.520075508,236.8061523,45.71727205,1.053083734,0.351027911,0.320695173,0.210886975,0.807912162,0.446498104
110,4.280856821,0.455420726,50,19,135,265,26.5,668.1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,3.912771027,0.729209343,51,2,65.5,323,32.3,694.6,0.97,10,0.217860899,0.173241096,0.7197624,-0.564278202,-0.653517808,0.4395248,228.0519002,0.750458457,267.1816406,0.174985372,284.199707,0.524071934,236.8061523,55.38783222,1.110864395,0.370288132,0.298763175,0.237573884,0.987044951,0.507794004
112,3.54438041,0.515134342,51,3,65,337.5,33.75,672.35,1.01,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,3.936384712,0.470894054,51,4,112.5,230,23,700.85,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,2.417314186,0.332120308,51,5,64.5,329,32.9,633.6,0.993,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,4.423926041,0.738714712,51,6,117.5,161.5,16.15,748.35,0.988,10,0.551216036,0.232043742,0.756133033,0.102432073,-0.535912517,0.512266066,230.4517704,0.725993583,271.7880859,0.151791121,255.2436523,0.371657313,242.0170898,60.18757258,1.539392811,0.513130937,0.746182562,0.314118208,1.023579226,0.694626665
116,3.478863512,0.338754225,51,7,63,325.5,32.55,646.6,0.982,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,2.075148134,0.373197812,51,8,62.5,325,32.5,615.1,0.977,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,0.463509043,0.380066175,51,9,60.5,321,32.1,590.35,0.973,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,0.470090404,0.606289156,51,10,64,314.5,31.45,583.6,0.966,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0.008068815,0.568718072,51,21,111.5,150,15,525.85,0.964,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0.007677991,0.602988716,51,24,61,324.5,32.45,438.1,0.959,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,7.832768481,0.635440723,52,1,64.5,313,31.3,734.85,0.958,10,0.328147166,0.209853302,0.685278664,-0.343705667,-0.580293396,0.370557327,226.8514684,0.365812526,267.1816406,0.168409765,255.2436523,0.266696417,242.0200195,52.9869687,1.223279132,0.407759711,0.516408777,0.330248431,1.078430511,0.641695906
123,6.501707132,0.421770439,52,2,60.5,338.5,33.85,699.6,0.955,10,0,0.006050923,0.01202093,-1,-0.987898155,-0.97595814,323.8861621,0.629239255,267.1816406,0.184906668,284.199707,0.301485247,241.3686523,21.43567144,0.018071852,0.006023951,0,0.014346483,0.02850112,0.014282534
124,5.693798079,0.854744623,52,6,140,231,23.1,766.85,0.951,10,0.148188454,0.163126624,0.516792174,-0.703623091,-0.673746752,0.033584349,238.8989718,0.446662848,215.0419922,0.146897817,249.0351563,0.217982872,242.0200195,43.29316974,0.828107253,0.276035751,0.173371613,0.190848377,0.604615882,0.322945291
125,6.459470684,0.280455846,52,7,75.5,285.5,28.55,764.85,0.949,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,5.001549821,0.65185009,52,8,131.5,247.5,24.75,742.35,0.946,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
