CollectionTime,7/9/2024 4:18:46 PM
ExposureUsed,3
CalibratedSpectrum
-962.7078968117929,467
-959.9714848408522,500
-957.2358232597828,492
-954.5009119013725,497
-951.7667505983302,465
-949.0333391832855,471
-946.3006774887896,504
-943.5687653473143,488
-940.837602591253,490
-938.1071890529199,486
-935.3775245645503,488
-932.6486089583007,502
-929.9204420662485,495
-927.1930237203925,510
-924.4663537526524,519
-921.7404319948689,499
-919.0152582788041,499
-916.2908324361409,574
-913.5671542984834,512
-910.8442236973568,476
-908.1220404642074,511
-905.4006044304027,530
-902.679915427231,518
-899.959973285902,521
-897.2407778375464,514
-894.5223289132158,530
-891.8046263438832,492
-889.0876699604426,473
-886.3714595937089,499
-883.6559950744183,492
-880.9412762332282,482
-878.2273029007168,487
-875.5140749073835,495
-872.8015920836489,521
-870.0898542598545,515
-867.3788612662631,480
-864.6686129330585,473
-861.9591090903457,492
-859.2503495681506,486
-856.5423341964203,522
-853.8350628050229,498
-851.1285352237478,494
-848.4227512823054,473
-845.7177108103272,515
-843.0134136373656,550
-840.3098595928943,487
-837.6070485063082,543
-834.9049802069229,508
-832.2036545239757,507
-829.5030712866244,500
-826.8032303239481,499
-824.1041314649472,510
-821.4057745385428,506
-818.7081593735775,519
-816.0112857988148,496
-813.3151536429393,502
-810.6197627345566,513
-807.9251129021936,493
-805.2312039742981,498
-802.5380357792392,530
-799.8456081453069,518
-797.1539209007124,499
-794.462973873588,552
-791.772766891987,528
-789.083299783884,492
-786.3945723771743,528
-783.7065844996748,513
-781.0193359791231,526
-778.3328266431781,534
-775.6470563194197,507
-772.9620248353489,526
-770.2777320183878,515
-767.5941776958798,529
-764.9113616950891,538
-762.2292838432011,540
-759.5479439673222,524
-756.8673418944801,521
-754.1874774516235,531
-751.5083504656222,529
-748.8299607632671,500
-746.15230817127,520
-743.475392516264,541
-740.7992136248035,528
-738.1237713233636,524
-735.4490654383407,540
-732.7750957960521,561
-730.1018622227365,545
-727.4293645445534,532
-724.7576025875837,533
-722.0865761778291,550
-719.4162851412126,525
-716.7467293035781,558
-714.0779084906909,530
-711.409822528237,560
-708.7424712418238,517
-706.0758544569796,552
-703.4099719991541,577
-700.7448236937178,570
-698.0804093659622,587
-695.4167288411002,574
-692.7537819442656,555
-690.0915685005134,571
-687.4300883348199,558
-684.7693412720819,561
-682.1093271371178,524
-679.4500457546669,532
-676.7914969493897,563
-674.1336805458676,545
-671.4765963686034,547
-668.8202442420206,574
-666.1646239904642,576
-663.5097354382001,562
-660.8555784094151,554
-658.2021527282176,577
-655.5494582186366,581
-652.8974947046223,579
-650.2462620100463,602
-647.5957599587009,594
-644.9459883742998,600
-642.2969470804776,584
-639.6486359007902,638
-637.0010546587141,611
-634.3542031776476,574
-631.7080812809096,588
-629.0626887917401,596
-626.4180255333008,590
-623.7740913286734,626
-621.1308860008619,596
-618.4884093727904,603
-615.8466612673046,612
-613.2056415071715,573
-610.5653499150785,627
-607.9257863136347,573
-605.28695052537,634
-602.6488423727357,598
-600.0114616781036,630
-597.3748082637674,628
-594.7388819519412,618
-592.1036825647604,651
-589.4692099242818,641
-586.8354638524829,643
-584.2024441712624,674
-581.5701507024403,659
-578.9385832677575,627
-576.3077416888759,636
-573.6776257873787,658
-571.0482353847704,603
-568.4195703024757,634
-565.7916303618415,650
-563.164415384135,628
-560.5379251905453,638
-557.9121596021815,643
-555.2871184400748,651
-552.6628015251767,623
-550.0392086783606,602
-547.4163397204204,617
-544.794194472071,682
-542.1727727539491,668
-539.5520743866118,666
-536.9320991905377,692
-534.3128469861261,682
-531.6943175936979,685
-529.0765108334947,760
-526.4594265256793,772
-523.8430644903358,870
-521.2274245474689,990
-518.612506517005,1066
-515.9983102187913,994
-513.3848354725959,986
-510.77208209810846,1038
-508.16004991493924,1147
-505.5487387426199,1353
-502.9381484006032,1456
-500.3282787082628,1351
-497.71912948489364,1264
-495.1107005497117,1219
-492.5029917218539,1049
-489.8960028203786,912
-487.28973366426493,862
-484.68418407241325,802
-482.07935386364494,797
-479.47524285670266,766
-476.87185087025,776
-474.2691777228715,809
-471.66722323307334,790
-469.0659872192821,789
-466.4654694998459,812
-463.86566989303384,781
-461.26658821703614,805
-458.66822428996414,831
-456.07057792985,797
-453.4736489546475,786
-450.877437182231,781
-448.28194243039627,758
-445.68716451686,738
-443.09310325926003,780
-440.49975847515555,744
-437.9071299820263,750
-435.31521759727354,728
-432.72402113821954,815
-430.13354042210767,842
-427.5437752661022,822
-424.95472548728867,789
-422.36639090267386,829
-419.7787713291855,831
-417.1918665836721,843
-414.60567648290385,842
-412.0202008435715,873
-409.4354394822874,862
-406.8513922155845,896
-404.26805885991723,879
-401.685439231661,892
-399.103533147112,869
-396.522340422488,859
-393.9418608739278,875
-391.3620943174908,834
-388.7830405691583,789
-386.2046994448317,772
-383.6270707603344,735
-381.05015433141045,727
-378.473949973725,727
-375.8984575028645,671
-373.32367673433623,614
-370.74960748356875,599
-368.1762495659117,587
-365.60360279663576,520
-363.03166699093265,493
-360.4604419639154,506
-357.8899275306178,486
-355.32012350599507,469
-352.7510297049233,437
-350.1826459421999,443
-347.61497203254316,453
-345.04800779059235,464
-342.4817530309082,447
-339.91620756797226,443
-337.35137121618743,454
-334.7872437898774,510
-332.22382510328725,501
-329.66111497058273,462
-327.09911320585127,416
-324.53781962310075,466
-321.9772340362607,462
-319.4173562591816,464
-316.8581861056348,442
-314.2997233893127,440
-311.7419679238294,433
-309.1849195227194,457
-306.62857799943856,491
-304.0729431673641,473
-301.51801483979375,469
-298.963792829947,465
-296.41027695096386,474
-293.85746701590574,466
-291.3053628377552,470
-288.7539642294155,480
-286.2032710037115,489
-283.65328297338897,485
-281.1039999511146,514
-278.5554217494762,530
-276.007548180983,515
-273.4603790580651,500
-270.9139141930734,507
-268.3681533982807,479
-265.8230964858798,490
-263.27874326798565,502
-260.7350935566336,523
-258.1921471637804,552
-255.6499039013039,536
-253.10836358100266,520
-250.56752601459698,505
-248.02739101372765,563
-245.48795838995704,598
-242.94922795476816,518
-240.41119951956557,546
-237.8738728956746,592
-235.33724789434166,586
-232.80132432673452,563
-230.2661020039418,566
-227.73158073697357,587
-225.19776033676033,604
-222.66464061415422,684
-220.1322213799284,614
-217.60050244477725,610
-215.06948361931552,570
-212.53916471408013,641
-210.00954553952818,609
-207.48062590603843,655
-204.9524056239104,605
-202.4248845033651,694
-199.8980623545441,680
-197.37193898751036,673
-194.84651421224817,665
-192.32178783866232,698
-189.79775967657952,664
-187.27442953574644,730
-184.7517972258321,764
-182.2298625564256,671
-179.7086253370378,651
-177.18808537710026,660
-174.66824248596583,660
-172.14909647290835,725
-169.6306471471229,784
-167.11289431772548,707
-164.59583779375328,650
-162.07947738416453,693
-159.5638128978386,765
-157.04884414357605,911
-154.53457093009854,936
-152.02099306604828,951
-149.50811035998936,807
-146.99592262040665,752
-144.48442965570587,734
-141.97363127421409,812
-139.46352728417958,917
-136.95411749377126,1099
-134.44540171107985,1018
-131.93737974411636,794
-129.43005140081357,815
-126.92341648902493,1186
-124.41747481652521,1380
-121.91222619101006,1549
-119.40767042009657,1896
-116.90380731132257,2198
-114.40063667214702,2365
-111.8981583099503,1899
-109.3963720320337,1463
-106.89527764561933,1400
-104.39487495785067,1569
-101.89516377579241,2197
-99.39614390642998,2822
-96.89781515667039,3157
-94.40017733334128,3066
-91.90323024319173,3383
-89.40697369289148,3734
-86.91140748903172,4560
-84.41653143812482,4907
-81.92234534660395,3910
-79.42884902082358,2675
-76.93604226705907,3714
-74.4439248915071,7162
-71.95249670028534,10370
-69.46175749943245,11973
-66.97170709490854,11887
-64.48234529259423,11325
-61.99367189829195,10132
-59.50568671772464,8699
-57.01838955653636,7013
-54.53178022029283,7122
-52.045858514480074,7471
-49.560624244506016,7447
-47.07607721569923,7978
-44.59221723330904,7613
-42.10904410250669,6789
-39.62655762838392,5122
-37.14475761595372,4139
-34.66364387015028,4705
-32.18321619582866,5137
-29.70347439776515,5921
-27.224418280657005,7307
-24.74604764912317,8399
-22.26836230770266,12440
-19.7913620608565,22837
-17.315046712966478,41720
-14.83941606833514,57400
-12.36446993118659,65038
-9.89020810566592,65038
-7.416630395839093,65038
-4.94373660569363,65038
-2.471526539137585,65038
-6.821210263296962E-13,65038
2.47084320796705,65038
4.941003281093458,65038
7.410480415786196,65038
9.879274808531363,65038
12.347386655893956,65038
14.814816154518212,65038
17.28156350112681,65038
19.74762889252179,65038
22.21301252558385,65038
24.67771459727237,20683
27.141735304626195,3695
29.605074844762612,2216
32.06773341487792,1979
34.52971121224755,1832
36.99100843422559,1695
39.45162527824516,1617
41.91156194181792,1417
44.370818622535126,1332
46.82939551806646,1279
49.287292826160524,1246
51.74451074464503,1467
54.201049471426245,1402
56.65690920448981,1259
59.112090141899785,1022
61.56659248179983,1001
64.02041642241159,942
66.4735621620365,920
68.92602989905402,863
71.37781983192338,926
73.82893215918205,944
76.27936707944684,991
78.72912479141326,1080
81.17820549385567,1006
83.62660938562783,998
86.07433666566146,1129
88.5213875329681,846
90.96776218663751,838
93.41346082583925,856
95.85848364982041,872
98.30283085790859,809
100.7465026495089,887
103.18949922410604,931
105.63182078126385,911
108.07346752062438,926
110.51443964190923,802
112.95473734491827,745
115.39436082953114,777
117.83331029570547,780
120.27158594347827,801
122.7091879729652,781
125.1461165843615,770
127.58237197794062,687
130.01795435405518,728
132.4528639131364,893
134.88710085569494,992
137.32066538231982,839
139.75355769367923,789
142.1857779905207,818
144.61732647366978,808
147.04820334403132,760
149.47840880258934,734
151.90794305040674,813
154.33680628862487,938
156.76499871846443,1134
159.19252054122433,1222
161.61937195828352,1235
164.04555317109896,1328
166.47106438120693,1438
168.89590579022217,1506
171.320077599839,1646
173.7435800118302,1733
176.16641322804742,1711
178.58857745042144,1913
181.01007288096173,2083
183.43089972175687,2063
185.85105817497413,2057
188.27054844285988,2058
190.6893707277394,1992
193.10752523201643,2002
195.5250121581745,2144
197.9418317087751,2169
200.3579840864594,2110
202.7734694939469,2173
205.18828813403627,2161
207.6024402096051,2304
210.01592592360964,2321
212.42874547908548,2268
214.84089907914665,2190
217.2523869269868,2252
219.66320922587727,2239
222.0733661791695,2210
224.48285799029293,2268
226.8916848627572,2189
229.29984700014882,2297
231.7073446061355,2320
234.11417788446204,2298
236.520347038953,2234
238.92585227351185,2313
241.33069379212054,2268
243.73487179884035,2287
246.1383864978112,2297
248.541238093252,2408
250.9434267894609,2309
253.34495279081432,2391
255.74581630176783,2383
258.1460175268563,2393
260.54555667069314,2347
262.9444339379703,2324
265.3426495334594,2304
267.7402036620107,2383
270.1370965285529,2271
272.53332833809407,2244
274.9288992957214,2146
277.32380960660055,2238
279.718059475976,2246
282.1116491091717,2233
284.5045787115897,2130
286.89684848871195,2189
289.2884586460981,2174
291.67940938938807,2222
294.0697009242996,2216
296.4593334566299,2234
298.84830719225477,2219
301.23662233712923,2218
303.6242790972866,2260
306.01127767884,2157
308.39761828798066,2169
310.78330113097934,2071
313.16832641418534,2127
315.5526943440269,2077
317.9364051270112,2073
320.3194589697242,2045
322.70185607883093,2106
325.0835966610754,2059
327.4646809232805,2055
329.8451090723478,2028
332.2248813152577,1999
334.6039978590701,1985
336.9824589109231,1997
339.36026467803447,1951
341.7374153677,1981
344.113911187295,1995
346.48975234427337,2020
348.8649390461686,1945
351.2394715005918,1925
353.61334991523415,1883
355.9865744978655,1880
358.35914545633375,1881
360.73106299856715,1943
363.10232733257146,1935
365.47293866643247,1896
367.84289720831396,1917
370.2122031664593,1803
372.5808567491905,1924
374.9488581649083,1937
377.31620762209275,1847
379.6829053293021,1888
382.0489514951745,1877
384.4143463284262,1810
386.7790900378528,1869
389.14318283232853,1827
391.50662492080653,1808
393.86941651231916,1924
396.23155781597745,1876
398.5930490409713,1875
400.9538903965696,1841
403.3140820921202,1810
405.6736243370498,1803
408.03251734086336,1838
410.3907613131465,1780
412.74835646356166,1782
415.10530300185144,1787
417.4616011378372,1731
419.81725108141893,1783
422.1722530425758,1805
424.5266072313656,1818
426.880313857925,1801
429.2333731324701,1709
431.58578526529516,1739
433.9375504667738,1769
436.2886689473588,1853
438.63914091758113,1730
440.9889665880513,1704
443.33814616945835,1709
445.68667987257015,1737
448.03456790823395,1775
450.3818104873759,1708
452.72840782100013,1746
455.07436012019105,1785
457.41966759611057,1686
459.7643304600007,1731
462.10834892318155,1802
464.4517231970525,1774
466.79445349309174,1782
469.1365400228566,1787
471.4779829979826,1730
473.81878263018564,1708
476.15893913125876,1791
478.4984527130747,1836
480.8373235875855,1853
483.17555196682144,1831
485.5131380628919,1888
487.8500820879857,1951
490.1863842543697,2062
492.52204477439034,2129
494.8570638604725,2310
497.1914417251204,2461
499.52517858091653,2763
501.85827464052306,3125
504.19073011668036,3309
506.5225452222086,3406
508.85372017000566,3307
511.18425517304956,3231
513.514150444396,3364
515.8434061971808,3965
518.1720226446176,4672
520.4999999999999,4838
522.8273384766991,4656
525.1540382881666,4111
527.480099647932,3585
529.8055227696037,2975
532.1303078668694,2421
534.454455153496,2074
536.777964843328,1914
539.1008371502907,1890
541.4230722883866,1877
543.744670471698,1884
546.0656319143858,1849
548.3859568306899,1764
550.7056454349294,1799
553.0246979415016,1773
555.3431145648834,1790
557.6608955196306,1785
559.978041020377,1758
562.2945512818363,1809
564.6104265188006,1823
566.9256669461412,1815
569.2402727788082,1782
571.5542442318302,1736
573.8675815203156,1872
576.1802848594508,1818
578.4923544645015,1813
580.8037905508126,1759
583.114593333807,1790
585.4247630289875,1834
587.7342998519354,1820
590.0432040183106,1770
592.3514757438526,1838
594.6591152443794,1846
596.9661227357875,1809
599.2724984340531,1815
601.578242555231,1849
603.8833553154542,1786
606.1878369309362,1857
608.4916876179676,1851
610.7949075929192,1771
613.0974970722403,1801
615.3994562724587,1795
617.7007854101818,1815
620.0014847020951,1756
622.3015543649641,1817
624.6009946156324,1858
626.8998056710224,1745
629.1979877481361,1738
631.4955410640538,1793
633.7924658359349,1841
636.0887622810175,1807
638.3844306166192,1838
640.6794710601358,1793
642.9738838290426,1789
645.2676691408932,1878
647.5608272133207,1834
649.853358264037,1764
652.1452625108324,1853
654.4365401715764,1802
656.7271914642178,1866
659.0172166067838,1826
661.3066158173809,1818
663.5953893141935,1846
665.8835373154867,1830
668.1710600396028,1800
670.4579577049639,1863
672.7442305300709,1772
