CollectionTime,9/19/2024 11:02:44 AM
ExposureUsed,3
CalibratedSpectrum
-962.7078968117929,722
-959.9714848408522,795
-957.2358232597828,823
-954.5009119013725,849
-951.7667505983302,896
-949.0333391832855,851
-946.3006774887896,832
-943.5687653473143,786
-940.837602591253,850
-938.1071890529199,866
-935.3775245645503,826
-932.6486089583007,794
-929.9204420662485,789
-927.1930237203925,820
-924.4663537526524,819
-921.7404319948689,849
-919.0152582788041,844
-916.2908324361409,826
-913.5671542984834,830
-910.8442236973568,836
-908.1220404642074,789
-905.4006044304027,804
-902.679915427231,834
-899.959973285902,785
-897.2407778375464,798
-894.5223289132158,792
-891.8046263438832,797
-889.0876699604426,814
-886.3714595937089,808
-883.6559950744183,770
-880.9412762332282,802
-878.2273029007168,788
-875.5140749073835,799
-872.8015920836489,792
-870.0898542598545,782
-867.3788612662631,801
-864.6686129330585,774
-861.9591090903457,747
-859.2503495681506,769
-856.5423341964203,785
-853.8350628050229,746
-851.1285352237478,768
-848.4227512823054,773
-845.7177108103272,774
-843.0134136373656,788
-840.3098595928943,814
-837.6070485063082,811
-834.9049802069229,790
-832.2036545239757,757
-829.5030712866244,744
-826.8032303239481,789
-824.1041314649472,762
-821.4057745385428,751
-818.7081593735775,762
-816.0112857988148,777
-813.3151536429393,799
-810.6197627345566,797
-807.9251129021936,790
-805.2312039742981,786
-802.5380357792392,767
-799.8456081453069,809
-797.1539209007124,791
-794.462973873588,783
-791.772766891987,764
-789.083299783884,838
-786.3945723771743,799
-783.7065844996748,793
-781.0193359791231,815
-778.3328266431781,784
-775.6470563194197,798
-772.9620248353489,785
-770.2777320183878,813
-767.5941776958798,786
-764.9113616950891,800
-762.2292838432011,776
-759.5479439673222,784
-756.8673418944801,819
-754.1874774516235,807
-751.5083504656222,777
-748.8299607632671,801
-746.15230817127,817
-743.475392516264,817
-740.7992136248035,785
-738.1237713233636,791
-735.4490654383407,784
-732.7750957960521,807
-730.1018622227365,849
-727.4293645445534,792
-724.7576025875837,852
-722.0865761778291,891
-719.4162851412126,896
-716.7467293035781,855
-714.0779084906909,800
-711.409822528237,836
-708.7424712418238,893
-706.0758544569796,909
-703.4099719991541,919
-700.7448236937178,830
-698.0804093659622,860
-695.4167288411002,857
-692.7537819442656,845
-690.0915685005134,883
-687.4300883348199,939
-684.7693412720819,885
-682.1093271371178,933
-679.4500457546669,909
-676.7914969493897,888
-674.1336805458676,911
-671.4765963686034,901
-668.8202442420206,887
-666.1646239904642,918
-663.5097354382001,885
-660.8555784094151,883
-658.2021527282176,879
-655.5494582186366,936
-652.8974947046223,865
-650.2462620100463,915
-647.5957599587009,956
-644.9459883742998,943
-642.2969470804776,931
-639.6486359007902,995
-637.0010546587141,966
-634.3542031776476,949
-631.7080812809096,893
-629.0626887917401,907
-626.4180255333008,926
-623.7740913286734,987
-621.1308860008619,973
-618.4884093727904,865
-615.8466612673046,935
-613.2056415071715,919
-610.5653499150785,930
-607.9257863136347,965
-605.28695052537,934
-602.6488423727357,922
-600.0114616781036,897
-597.3748082637674,979
-594.7388819519412,985
-592.1036825647604,1023
-589.4692099242818,1004
-586.8354638524829,960
-584.2024441712624,943
-581.5701507024403,940
-578.9385832677575,967
-576.3077416888759,970
-573.6776257873787,965
-571.0482353847704,962
-568.4195703024757,981
-565.7916303618415,1000
-563.164415384135,948
-560.5379251905453,936
-557.9121596021815,953
-555.2871184400748,958
-552.6628015251767,1001
-550.0392086783606,1080
-547.4163397204204,1064
-544.794194472071,1073
-542.1727727539491,1084
-539.5520743866118,1028
-536.9320991905377,1091
-534.3128469861261,1069
-531.6943175936979,1100
-529.0765108334947,1166
-526.4594265256793,1273
-523.8430644903358,1524
-521.2274245474689,1638
-518.612506517005,1688
-515.9983102187913,1702
-513.3848354725959,1720
-510.77208209810846,1669
-508.16004991493924,1710
-505.5487387426199,1845
-502.9381484006032,1952
-500.3282787082628,1965
-497.71912948489364,1932
-495.1107005497117,1912
-492.5029917218539,1758
-489.8960028203786,1511
-487.28973366426493,1432
-484.68418407241325,1339
-482.07935386364494,1264
-479.47524285670266,1222
-476.87185087025,1216
-474.2691777228715,1232
-471.66722323307334,1176
-469.0659872192821,1240
-466.4654694998459,1282
-463.86566989303384,1191
-461.26658821703614,1193
-458.66822428996414,1200
-456.07057792985,1171
-453.4736489546475,1240
-450.877437182231,1165
-448.28194243039627,1157
-445.68716451686,1146
-443.09310325926003,1164
-440.49975847515555,1193
-437.9071299820263,1116
-435.31521759727354,1154
-432.72402113821954,1207
-430.13354042210767,1147
-427.5437752661022,1151
-424.95472548728867,1231
-422.36639090267386,1258
-419.7787713291855,1293
-417.1918665836721,1292
-414.60567648290385,1329
-412.0202008435715,1296
-409.4354394822874,1312
-406.8513922155845,1272
-404.26805885991723,1303
-401.685439231661,1303
-399.103533147112,1247
-396.522340422488,1255
-393.9418608739278,1246
-391.3620943174908,1273
-388.7830405691583,1223
-386.2046994448317,1159
-383.6270707603344,1083
-381.05015433141045,1055
-378.473949973725,1057
-375.8984575028645,904
-373.32367673433623,889
-370.74960748356875,859
-368.1762495659117,824
-365.60360279663576,714
-363.03166699093265,645
-360.4604419639154,648
-357.8899275306178,600
-355.32012350599507,613
-352.7510297049233,546
-350.1826459421999,557
-347.61497203254316,568
-345.04800779059235,524
-342.4817530309082,550
-339.91620756797226,628
-337.35137121618743,608
-334.7872437898774,578
-332.22382510328725,565
-329.66111497058273,601
-327.09911320585127,552
-324.53781962310075,527
-321.9772340362607,534
-319.4173562591816,542
-316.8581861056348,549
-314.2997233893127,579
-311.7419679238294,561
-309.1849195227194,580
-306.62857799943856,631
-304.0729431673641,579
-301.51801483979375,647
-298.963792829947,608
-296.41027695096386,593
-293.85746701590574,634
-291.3053628377552,681
-288.7539642294155,654
-286.2032710037115,706
-283.65328297338897,755
-281.1039999511146,790
-278.5554217494762,667
-276.007548180983,647
-273.4603790580651,635
-270.9139141930734,675
-268.3681533982807,738
-265.8230964858798,734
-263.27874326798565,771
-260.7350935566336,730
-258.1921471637804,781
-255.6499039013039,869
-253.10836358100266,886
-250.56752601459698,802
-248.02739101372765,899
-245.48795838995704,978
-242.94922795476816,927
-240.41119951956557,899
-237.8738728956746,846
-235.33724789434166,858
-232.80132432673452,843
-230.2661020039418,881
-227.73158073697357,838
-225.19776033676033,925
-222.66464061415422,1009
-220.1322213799284,888
-217.60050244477725,839
-215.06948361931552,1037
-212.53916471408013,1148
-210.00954553952818,1093
-207.48062590603843,1004
-204.9524056239104,861
-202.4248845033651,990
-199.8980623545441,1103
-197.37193898751036,1164
-194.84651421224817,1046
-192.32178783866232,990
-189.79775967657952,1080
-187.27442953574644,1315
-184.7517972258321,1308
-182.2298625564256,1029
-179.7086253370378,963
-177.18808537710026,1225
-174.66824248596583,1412
-172.14909647290835,1422
-169.6306471471229,1257
-167.11289431772548,1130
-164.59583779375328,1156
-162.07947738416453,1432
-159.5638128978386,1581
-157.04884414357605,1762
-154.53457093009854,1843
-152.02099306604828,1382
-149.50811035998936,1261
-146.99592262040665,1666
-144.48442965570587,1893
-141.97363127421409,2128
-139.46352728417958,2273
-136.95411749377126,2114
-134.44540171107985,1569
-131.93737974411636,1301
-129.43005140081357,1452
-126.92341648902493,1964
-124.41747481652521,2742
-121.91222619101006,3381
-119.40767042009657,3248
-116.90380731132257,2770
-114.40063667214702,2976
-111.8981583099503,3768
-109.3963720320337,5802
-106.89527764561933,8957
-104.39487495785067,10994
-101.89516377579241,16065
-99.39614390642998,20361
-96.89781515667039,23616
-94.40017733334128,25954
-91.90323024319173,24841
-89.40697369289148,16496
-86.91140748903172,9166
-84.41653143812482,7432
-81.92234534660395,11800
-79.42884902082358,19972
-76.93604226705907,27690
-74.4439248915071,29210
-71.95249670028534,24157
-69.46175749943245,16409
-66.97170709490854,10891
-64.48234529259423,9890
-61.99367189829195,10460
-59.50568671772464,8382
-57.01838955653636,9056
-54.53178022029283,12107
-52.045858514480074,13426
-49.560624244506016,14553
-47.07607721569923,14064
-44.59221723330904,16689
-42.10904410250669,21974
-39.62655762838392,24662
-37.14475761595372,28139
-34.66364387015028,30644
-32.18321619582866,32960
-29.70347439776515,33611
-27.224418280657005,37558
-24.74604764912317,42094
-22.26836230770266,65033
-19.7913620608565,65033
-17.315046712966478,65033
-14.83941606833514,65033
-12.36446993118659,65033
-9.89020810566592,65033
-7.416630395839093,65033
-4.94373660569363,65033
-2.471526539137585,65033
-6.821210263296962E-13,65033
2.47084320796705,65033
4.941003281093458,65033
7.410480415786196,65033
9.879274808531363,65033
12.347386655893956,65033
14.814816154518212,65033
17.28156350112681,65033
19.74762889252179,65033
22.21301252558385,25872
24.67771459727237,7933
27.141735304626195,7931
29.605074844762612,7291
32.06773341487792,7104
34.52971121224755,6897
36.99100843422559,6176
39.45162527824516,4925
41.91156194181792,5834
44.370818622535126,5425
46.82939551806646,5303
49.287292826160524,8488
51.74451074464503,7862
54.201049471426245,4996
56.65690920448981,2942
59.112090141899785,2218
61.56659248179983,3313
64.02041642241159,3259
66.4735621620365,3478
68.92602989905402,4173
71.37781983192338,4518
73.82893215918205,3087
76.27936707944684,2228
78.72912479141326,2556
81.17820549385567,3161
83.62660938562783,2876
86.07433666566146,2246
88.5213875329681,1951
90.96776218663751,2081
93.41346082583925,2167
95.85848364982041,2842
98.30283085790859,2685
100.7465026495089,2360
103.18949922410604,2111
105.63182078126385,1667
108.07346752062438,1484
110.51443964190923,1350
112.95473734491827,1480
115.39436082953114,1597
117.83331029570547,1640
120.27158594347827,1655
122.7091879729652,1607
125.1461165843615,1425
127.58237197794062,1191
130.01795435405518,1509
132.4528639131364,1618
134.88710085569494,1429
137.32066538231982,1611
139.75355769367923,1651
142.1857779905207,1556
144.61732647366978,1410
147.04820334403132,1425
149.47840880258934,1350
151.90794305040674,1503
154.33680628862487,1594
156.76499871846443,1650
159.19252054122433,1741
161.61937195828352,1903
164.04555317109896,2240
166.47106438120693,2539
168.89590579022217,2679
171.320077599839,2809
173.7435800118302,2949
176.16641322804742,3057
178.58857745042144,3079
181.01007288096173,3283
183.43089972175687,3200
185.85105817497413,3257
188.27054844285988,3300
190.6893707277394,3256
193.10752523201643,3289
195.5250121581745,3498
197.9418317087751,3457
200.3579840864594,3406
202.7734694939469,3559
205.18828813403627,3725
207.6024402096051,3642
210.01592592360964,3585
212.42874547908548,3577
214.84089907914665,3532
217.2523869269868,3607
219.66320922587727,3552
222.0733661791695,3452
224.48285799029293,3424
226.8916848627572,3571
229.29984700014882,3591
231.7073446061355,3558
234.11417788446204,3587
236.520347038953,3779
238.92585227351185,3685
241.33069379212054,3871
243.73487179884035,3804
246.1383864978112,3895
248.541238093252,3985
250.9434267894609,3944
253.34495279081432,3891
255.74581630176783,3858
258.1460175268563,3905
260.54555667069314,3976
262.9444339379703,3939
265.3426495334594,4053
267.7402036620107,3828
270.1370965285529,3685
272.53332833809407,3597
274.9288992957214,3491
277.32380960660055,3289
279.718059475976,3320
282.1116491091717,3235
284.5045787115897,3215
286.89684848871195,3294
289.2884586460981,3229
291.67940938938807,3347
294.0697009242996,3457
296.4593334566299,3261
298.84830719225477,3187
301.23662233712923,3314
303.6242790972866,3250
306.01127767884,3123
308.39761828798066,3090
310.78330113097934,3028
313.16832641418534,3044
315.5526943440269,2945
317.9364051270112,2952
320.3194589697242,2958
322.70185607883093,3005
325.0835966610754,2820
327.4646809232805,2789
329.8451090723478,2792
332.2248813152577,2837
334.6039978590701,2773
336.9824589109231,2853
339.36026467803447,2746
341.7374153677,2609
344.113911187295,2712
346.48975234427337,2689
348.8649390461686,2726
351.2394715005918,2708
353.61334991523415,2620
355.9865744978655,2619
358.35914545633375,2754
360.73106299856715,2696
363.10232733257146,2676
365.47293866643247,2653
367.84289720831396,2617
370.2122031664593,2625
372.5808567491905,2577
374.9488581649083,2531
377.31620762209275,2552
379.6829053293021,2537
382.0489514951745,2629
384.4143463284262,2456
386.7790900378528,2448
389.14318283232853,2444
391.50662492080653,2388
393.86941651231916,2521
396.23155781597745,2574
398.5930490409713,2633
400.9538903965696,2457
403.3140820921202,2497
405.6736243370498,2415
408.03251734086336,2402
410.3907613131465,2420
412.74835646356166,2484
415.10530300185144,2461
417.4616011378372,2461
419.81725108141893,2467
422.1722530425758,2379
424.5266072313656,2412
426.880313857925,2435
429.2333731324701,2389
431.58578526529516,2412
433.9375504667738,2415
436.2886689473588,2387
438.63914091758113,2467
440.9889665880513,2439
443.33814616945835,2404
445.68667987257015,2407
448.03456790823395,2380
450.3818104873759,2322
452.72840782100013,2390
455.07436012019105,2362
457.41966759611057,2398
459.7643304600007,2411
462.10834892318155,2374
464.4517231970525,2343
466.79445349309174,2397
469.1365400228566,2441
471.4779829979826,2405
473.81878263018564,2396
476.15893913125876,2418
478.4984527130747,2481
480.8373235875855,2529
483.17555196682144,2638
485.5131380628919,2664
487.8500820879857,2749
490.1863842543697,2889
492.52204477439034,3141
494.8570638604725,3361
497.1914417251204,3519
499.52517858091653,3908
501.85827464052306,4021
504.19073011668036,4077
506.5225452222086,4106
508.85372017000566,4209
511.18425517304956,4382
513.514150444396,5308
515.8434061971808,6944
518.1720226446176,7932
520.4999999999999,8016
522.8273384766991,7714
525.1540382881666,7240
527.480099647932,6347
529.8055227696037,4868
532.1303078668694,3707
534.454455153496,2979
536.777964843328,2737
539.1008371502907,2563
541.4230722883866,2499
543.744670471698,2544
546.0656319143858,2429
548.3859568306899,2469
550.7056454349294,2452
553.0246979415016,2449
555.3431145648834,2426
557.6608955196306,2406
559.978041020377,2404
562.2945512818363,2410
564.6104265188006,2370
566.9256669461412,2372
569.2402727788082,2329
571.5542442318302,2371
573.8675815203156,2460
576.1802848594508,2373
578.4923544645015,2481
580.8037905508126,2445
583.114593333807,2482
585.4247630289875,2471
587.7342998519354,2404
590.0432040183106,2420
592.3514757438526,2482
594.6591152443794,2402
596.9661227357875,2344
599.2724984340531,2419
601.578242555231,2375
603.8833553154542,2362
606.1878369309362,2361
608.4916876179676,2332
610.7949075929192,2352
613.0974970722403,2435
615.3994562724587,2317
617.7007854101818,2333
620.0014847020951,2456
622.3015543649641,2401
624.6009946156324,2412
626.8998056710224,2443
629.1979877481361,2482
631.4955410640538,2374
633.7924658359349,2420
636.0887622810175,2445
638.3844306166192,2428
640.6794710601358,2383
642.9738838290426,2421
645.2676691408932,2486
