CollectionTime,7/10/2024 4:29:06 PM
ExposureUsed,3
CalibratedSpectrum
-962.7078968117929,566
-959.9714848408522,559
-957.2358232597828,599
-954.5009119013725,571
-951.7667505983302,575
-949.0333391832855,568
-946.3006774887896,606
-943.5687653473143,593
-940.837602591253,556
-938.1071890529199,581
-935.3775245645503,602
-932.6486089583007,591
-929.9204420662485,627
-927.1930237203925,603
-924.4663537526524,603
-921.7404319948689,620
-919.0152582788041,616
-916.2908324361409,671
-913.5671542984834,624
-910.8442236973568,608
-908.1220404642074,592
-905.4006044304027,611
-902.679915427231,613
-899.959973285902,600
-897.2407778375464,632
-894.5223289132158,638
-891.8046263438832,606
-889.0876699604426,615
-886.3714595937089,586
-883.6559950744183,600
-880.9412762332282,599
-878.2273029007168,577
-875.5140749073835,566
-872.8015920836489,591
-870.0898542598545,554
-867.3788612662631,607
-864.6686129330585,632
-861.9591090903457,623
-859.2503495681506,578
-856.5423341964203,608
-853.8350628050229,604
-851.1285352237478,603
-848.4227512823054,593
-845.7177108103272,582
-843.0134136373656,626
-840.3098595928943,646
-837.6070485063082,621
-834.9049802069229,616
-832.2036545239757,575
-829.5030712866244,596
-826.8032303239481,591
-824.1041314649472,627
-821.4057745385428,620
-818.7081593735775,593
-816.0112857988148,601
-813.3151536429393,626
-810.6197627345566,608
-807.9251129021936,571
-805.2312039742981,589
-802.5380357792392,598
-799.8456081453069,577
-797.1539209007124,631
-794.462973873588,616
-791.772766891987,646
-789.083299783884,589
-786.3945723771743,602
-783.7065844996748,590
-781.0193359791231,599
-778.3328266431781,606
-775.6470563194197,603
-772.9620248353489,604
-770.2777320183878,569
-767.5941776958798,637
-764.9113616950891,616
-762.2292838432011,617
-759.5479439673222,623
-756.8673418944801,613
-754.1874774516235,640
-751.5083504656222,609
-748.8299607632671,649
-746.15230817127,617
-743.475392516264,595
-740.7992136248035,658
-738.1237713233636,664
-735.4490654383407,666
-732.7750957960521,626
-730.1018622227365,677
-727.4293645445534,656
-724.7576025875837,646
-722.0865761778291,667
-719.4162851412126,632
-716.7467293035781,694
-714.0779084906909,694
-711.409822528237,660
-708.7424712418238,663
-706.0758544569796,674
-703.4099719991541,659
-700.7448236937178,693
-698.0804093659622,681
-695.4167288411002,652
-692.7537819442656,667
-690.0915685005134,717
-687.4300883348199,677
-684.7693412720819,687
-682.1093271371178,661
-679.4500457546669,697
-676.7914969493897,672
-674.1336805458676,686
-671.4765963686034,699
-668.8202442420206,703
-666.1646239904642,679
-663.5097354382001,714
-660.8555784094151,719
-658.2021527282176,729
-655.5494582186366,721
-652.8974947046223,736
-650.2462620100463,705
-647.5957599587009,691
-644.9459883742998,724
-642.2969470804776,730
-639.6486359007902,744
-637.0010546587141,694
-634.3542031776476,769
-631.7080812809096,761
-629.0626887917401,734
-626.4180255333008,727
-623.7740913286734,682
-621.1308860008619,755
-618.4884093727904,767
-615.8466612673046,733
-613.2056415071715,702
-610.5653499150785,743
-607.9257863136347,721
-605.28695052537,754
-602.6488423727357,727
-600.0114616781036,675
-597.3748082637674,725
-594.7388819519412,742
-592.1036825647604,741
-589.4692099242818,762
-586.8354638524829,753
-584.2024441712624,784
-581.5701507024403,751
-578.9385832677575,782
-576.3077416888759,765
-573.6776257873787,730
-571.0482353847704,711
-568.4195703024757,729
-565.7916303618415,741
-563.164415384135,767
-560.5379251905453,779
-557.9121596021815,746
-555.2871184400748,774
-552.6628015251767,756
-550.0392086783606,788
-547.4163397204204,758
-544.794194472071,756
-542.1727727539491,795
-539.5520743866118,801
-536.9320991905377,770
-534.3128469861261,820
-531.6943175936979,892
-529.0765108334947,893
-526.4594265256793,868
-523.8430644903358,1060
-521.2274245474689,1150
-518.612506517005,1250
-515.9983102187913,1170
-513.3848354725959,1241
-510.77208209810846,1206
-508.16004991493924,1251
-505.5487387426199,1444
-502.9381484006032,1613
-500.3282787082628,1643
-497.71912948489364,1571
-495.1107005497117,1558
-492.5029917218539,1388
-489.8960028203786,1246
-487.28973366426493,1173
-484.68418407241325,1039
-482.07935386364494,1047
-479.47524285670266,960
-476.87185087025,981
-474.2691777228715,907
-471.66722323307334,957
-469.0659872192821,994
-466.4654694998459,983
-463.86566989303384,976
-461.26658821703614,940
-458.66822428996414,978
-456.07057792985,983
-453.4736489546475,933
-450.877437182231,930
-448.28194243039627,923
-445.68716451686,950
-443.09310325926003,953
-440.49975847515555,904
-437.9071299820263,951
-435.31521759727354,943
-432.72402113821954,965
-430.13354042210767,934
-427.5437752661022,943
-424.95472548728867,923
-422.36639090267386,990
-419.7787713291855,1012
-417.1918665836721,1088
-414.60567648290385,1078
-412.0202008435715,1032
-409.4354394822874,1006
-406.8513922155845,1076
-404.26805885991723,1087
-401.685439231661,1031
-399.103533147112,1043
-396.522340422488,995
-393.9418608739278,1011
-391.3620943174908,991
-388.7830405691583,979
-386.2046994448317,975
-383.6270707603344,902
-381.05015433141045,879
-378.473949973725,822
-375.8984575028645,760
-373.32367673433623,717
-370.74960748356875,669
-368.1762495659117,687
-365.60360279663576,649
-363.03166699093265,567
-360.4604419639154,557
-357.8899275306178,528
-355.32012350599507,534
-352.7510297049233,490
-350.1826459421999,493
-347.61497203254316,483
-345.04800779059235,452
-342.4817530309082,481
-339.91620756797226,498
-337.35137121618743,487
-334.7872437898774,478
-332.22382510328725,498
-329.66111497058273,528
-327.09911320585127,472
-324.53781962310075,493
-321.9772340362607,510
-319.4173562591816,508
-316.8581861056348,482
-314.2997233893127,498
-311.7419679238294,522
-309.1849195227194,492
-306.62857799943856,514
-304.0729431673641,539
-301.51801483979375,535
-298.963792829947,557
-296.41027695096386,542
-293.85746701590574,595
-291.3053628377552,607
-288.7539642294155,533
-286.2032710037115,534
-283.65328297338897,548
-281.1039999511146,534
-278.5554217494762,598
-276.007548180983,628
-273.4603790580651,654
-270.9139141930734,609
-268.3681533982807,588
-265.8230964858798,651
-263.27874326798565,682
-260.7350935566336,659
-258.1921471637804,683
-255.6499039013039,662
-253.10836358100266,680
-250.56752601459698,630
-248.02739101372765,659
-245.48795838995704,646
-242.94922795476816,686
-240.41119951956557,697
-237.8738728956746,694
-235.33724789434166,684
-232.80132432673452,631
-230.2661020039418,654
-227.73158073697357,667
-225.19776033676033,654
-222.66464061415422,710
-220.1322213799284,699
-217.60050244477725,665
-215.06948361931552,670
-212.53916471408013,733
-210.00954553952818,722
-207.48062590603843,672
-204.9524056239104,730
-202.4248845033651,739
-199.8980623545441,783
-197.37193898751036,830
-194.84651421224817,766
-192.32178783866232,711
-189.79775967657952,757
-187.27442953574644,845
-184.7517972258321,817
-182.2298625564256,787
-179.7086253370378,782
-177.18808537710026,762
-174.66824248596583,796
-172.14909647290835,800
-169.6306471471229,860
-167.11289431772548,851
-164.59583779375328,855
-162.07947738416453,886
-159.5638128978386,1029
-157.04884414357605,1036
-154.53457093009854,1149
-152.02099306604828,1054
-149.50811035998936,1027
-146.99592262040665,1063
-144.48442965570587,1081
-141.97363127421409,1000
-139.46352728417958,1142
-136.95411749377126,1202
-134.44540171107985,1089
-131.93737974411636,935
-129.43005140081357,960
-126.92341648902493,1090
-124.41747481652521,1426
-121.91222619101006,1913
-119.40767042009657,2046
-116.90380731132257,2116
-114.40063667214702,2282
-111.8981583099503,2086
-109.3963720320337,1861
-106.89527764561933,1827
-104.39487495785067,1776
-101.89516377579241,2041
-99.39614390642998,2846
-96.89781515667039,3268
-94.40017733334128,2974
-91.90323024319173,2337
-89.40697369289148,2080
-86.91140748903172,2889
-84.41653143812482,3686
-81.92234534660395,4363
-79.42884902082358,4530
-76.93604226705907,5129
-74.4439248915071,7760
-71.95249670028534,12373
-69.46175749943245,16225
-66.97170709490854,17639
-64.48234529259423,17385
-61.99367189829195,15997
-59.50568671772464,12902
-57.01838955653636,9407
-54.53178022029283,8821
-52.045858514480074,10068
-49.560624244506016,12291
-47.07607721569923,13485
-44.59221723330904,13410
-42.10904410250669,14278
-39.62655762838392,14251
-37.14475761595372,14610
-34.66364387015028,18057
-32.18321619582866,19904
-29.70347439776515,19923
-27.224418280657005,20456
-24.74604764912317,18663
-22.26836230770266,20066
-19.7913620608565,28793
-17.315046712966478,43614
-14.83941606833514,56742
-12.36446993118659,65038
-9.89020810566592,65038
-7.416630395839093,65038
-4.94373660569363,65038
-2.471526539137585,65038
-6.821210263296962E-13,65038
2.47084320796705,65038
4.941003281093458,65038
7.410480415786196,65038
9.879274808531363,65038
12.347386655893956,65038
14.814816154518212,65038
17.28156350112681,65038
19.74762889252179,65038
22.21301252558385,24670
24.67771459727237,4647
27.141735304626195,3320
29.605074844762612,3114
32.06773341487792,3198
34.52971121224755,2834
36.99100843422559,2341
39.45162527824516,2602
41.91156194181792,2498
44.370818622535126,2192
46.82939551806646,1676
49.287292826160524,1547
51.74451074464503,1795
54.201049471426245,2120
56.65690920448981,1861
59.112090141899785,1528
61.56659248179983,1436
64.02041642241159,1218
66.4735621620365,1125
68.92602989905402,1141
71.37781983192338,1262
73.82893215918205,1348
76.27936707944684,1470
78.72912479141326,1386
81.17820549385567,1465
83.62660938562783,1346
86.07433666566146,1399
88.5213875329681,1276
90.96776218663751,1032
93.41346082583925,1019
95.85848364982041,1130
98.30283085790859,1274
100.7465026495089,1204
103.18949922410604,1392
105.63182078126385,1356
108.07346752062438,1235
110.51443964190923,1248
112.95473734491827,1128
115.39436082953114,988
117.83331029570547,1072
120.27158594347827,1169
122.7091879729652,1269
125.1461165843615,1326
127.58237197794062,1164
130.01795435405518,982
132.4528639131364,1072
134.88710085569494,1235
137.32066538231982,1123
139.75355769367923,1094
142.1857779905207,978
144.61732647366978,974
147.04820334403132,905
149.47840880258934,1005
151.90794305040674,1077
154.33680628862487,1144
156.76499871846443,1380
159.19252054122433,1457
161.61937195828352,1503
164.04555317109896,1676
166.47106438120693,1872
168.89590579022217,1966
171.320077599839,2073
173.7435800118302,2256
176.16641322804742,2490
178.58857745042144,2551
181.01007288096173,2694
183.43089972175687,2717
185.85105817497413,2594
188.27054844285988,2521
190.6893707277394,2585
193.10752523201643,2605
195.5250121581745,2731
197.9418317087751,2768
200.3579840864594,2666
202.7734694939469,2838
205.18828813403627,2900
207.6024402096051,2973
210.01592592360964,2978
212.42874547908548,2845
214.84089907914665,2852
217.2523869269868,2819
219.66320922587727,2805
222.0733661791695,2782
224.48285799029293,2830
226.8916848627572,2765
229.29984700014882,2843
231.7073446061355,2908
234.11417788446204,2895
236.520347038953,2869
238.92585227351185,3033
241.33069379212054,3020
243.73487179884035,3076
246.1383864978112,3068
248.541238093252,2987
250.9434267894609,3027
253.34495279081432,3057
255.74581630176783,3166
258.1460175268563,3132
260.54555667069314,3173
262.9444339379703,3099
265.3426495334594,3078
267.7402036620107,2941
270.1370965285529,2886
272.53332833809407,2875
274.9288992957214,2830
277.32380960660055,2762
279.718059475976,2688
282.1116491091717,2718
284.5045787115897,2760
286.89684848871195,2713
289.2884586460981,2695
291.67940938938807,2638
294.0697009242996,2670
296.4593334566299,2643
298.84830719225477,2683
301.23662233712923,2655
303.6242790972866,2605
306.01127767884,2565
308.39761828798066,2586
310.78330113097934,2493
313.16832641418534,2465
315.5526943440269,2515
317.9364051270112,2384
320.3194589697242,2408
322.70185607883093,2417
325.0835966610754,2463
327.4646809232805,2328
329.8451090723478,2393
332.2248813152577,2356
334.6039978590701,2344
336.9824589109231,2320
339.36026467803447,2321
341.7374153677,2293
344.113911187295,2259
346.48975234427337,2290
348.8649390461686,2291
351.2394715005918,2343
353.61334991523415,2289
355.9865744978655,2188
358.35914545633375,2301
360.73106299856715,2257
363.10232733257146,2261
365.47293866643247,2203
367.84289720831396,2186
370.2122031664593,2155
372.5808567491905,2164
374.9488581649083,2170
377.31620762209275,2192
379.6829053293021,2154
382.0489514951745,2103
384.4143463284262,2054
386.7790900378528,2072
389.14318283232853,2107
391.50662492080653,2091
393.86941651231916,2161
396.23155781597745,2167
398.5930490409713,2152
400.9538903965696,2161
403.3140820921202,2155
405.6736243370498,2027
408.03251734086336,2113
410.3907613131465,2072
412.74835646356166,2055
415.10530300185144,2053
417.4616011378372,2097
419.81725108141893,2017
422.1722530425758,2049
424.5266072313656,2050
426.880313857925,2116
429.2333731324701,2046
431.58578526529516,2092
433.9375504667738,2053
436.2886689473588,2013
438.63914091758113,2035
440.9889665880513,1981
443.33814616945835,2063
445.68667987257015,2000
448.03456790823395,1989
450.3818104873759,2081
452.72840782100013,1974
455.07436012019105,1955
457.41966759611057,1986
459.7643304600007,2016
462.10834892318155,2063
464.4517231970525,2010
466.79445349309174,2088
469.1365400228566,2018
471.4779829979826,2022
473.81878263018564,1977
476.15893913125876,2024
478.4984527130747,2119
480.8373235875855,2136
483.17555196682144,2143
485.5131380628919,2226
487.8500820879857,2214
490.1863842543697,2357
492.52204477439034,2551
494.8570638604725,2665
497.1914417251204,3017
499.52517858091653,3331
501.85827464052306,3468
504.19073011668036,3465
506.5225452222086,3506
508.85372017000566,3340
511.18425517304956,3239
513.514150444396,3543
515.8434061971808,4322
518.1720226446176,5108
520.4999999999999,5392
522.8273384766991,5180
525.1540382881666,4851
527.480099647932,4164
529.8055227696037,3582
532.1303078668694,2900
534.454455153496,2405
536.777964843328,2270
539.1008371502907,2271
541.4230722883866,2195
543.744670471698,2142
546.0656319143858,2158
548.3859568306899,2039
550.7056454349294,2090
553.0246979415016,2165
555.3431145648834,2030
557.6608955196306,2142
559.978041020377,2038
562.2945512818363,2083
564.6104265188006,2093
566.9256669461412,2111
569.2402727788082,2050
571.5542442318302,2059
573.8675815203156,2115
576.1802848594508,2106
578.4923544645015,2154
580.8037905508126,2194
583.114593333807,2190
585.4247630289875,2131
587.7342998519354,2098
590.0432040183106,2112
592.3514757438526,2146
594.6591152443794,2152
596.9661227357875,2120
599.2724984340531,2147
601.578242555231,2101
603.8833553154542,2211
606.1878369309362,2120
608.4916876179676,2076
610.7949075929192,2174
613.0974970722403,2084
615.3994562724587,2078
617.7007854101818,2099
620.0014847020951,2085
622.3015543649641,2161
624.6009946156324,2119
626.8998056710224,2109
629.1979877481361,2049
631.4955410640538,2097
633.7924658359349,2124
636.0887622810175,2124
638.3844306166192,2110
640.6794710601358,2141
642.9738838290426,2188
645.2676691408932,2183
647.5608272133207,2149
649.853358264037,2107
652.1452625108324,2197
654.4365401715764,2130
656.7271914642178,2146
659.0172166067838,2099
