CollectionTime,9/20/2024 11:27:27 AM
ExposureUsed,3
CalibratedSpectrum
-962.7078968117929,556
-959.9714848408522,555
-957.2358232597828,537
-954.5009119013725,526
-951.7667505983302,558
-949.0333391832855,547
-946.3006774887896,564
-943.5687653473143,573
-940.837602591253,541
-938.1071890529199,544
-935.3775245645503,561
-932.6486089583007,535
-929.9204420662485,563
-927.1930237203925,549
-924.4663537526524,550
-921.7404319948689,561
-919.0152582788041,559
-916.2908324361409,623
-913.5671542984834,587
-910.8442236973568,528
-908.1220404642074,513
-905.4006044304027,547
-902.679915427231,559
-899.959973285902,571
-897.2407778375464,561
-894.5223289132158,556
-891.8046263438832,530
-889.0876699604426,540
-886.3714595937089,574
-883.6559950744183,558
-880.9412762332282,557
-878.2273029007168,540
-875.5140749073835,530
-872.8015920836489,518
-870.0898542598545,505
-867.3788612662631,525
-864.6686129330585,533
-861.9591090903457,523
-859.2503495681506,530
-856.5423341964203,515
-853.8350628050229,515
-851.1285352237478,549
-848.4227512823054,584
-845.7177108103272,602
-843.0134136373656,567
-840.3098595928943,566
-837.6070485063082,565
-834.9049802069229,580
-832.2036545239757,567
-829.5030712866244,569
-826.8032303239481,590
-824.1041314649472,582
-821.4057745385428,578
-818.7081593735775,539
-816.0112857988148,528
-813.3151536429393,583
-810.6197627345566,559
-807.9251129021936,569
-805.2312039742981,557
-802.5380357792392,584
-799.8456081453069,568
-797.1539209007124,587
-794.462973873588,581
-791.772766891987,547
-789.083299783884,583
-786.3945723771743,521
-783.7065844996748,581
-781.0193359791231,550
-778.3328266431781,530
-775.6470563194197,545
-772.9620248353489,523
-770.2777320183878,597
-767.5941776958798,594
-764.9113616950891,640
-762.2292838432011,570
-759.5479439673222,564
-756.8673418944801,537
-754.1874774516235,573
-751.5083504656222,610
-748.8299607632671,569
-746.15230817127,578
-743.475392516264,614
-740.7992136248035,588
-738.1237713233636,568
-735.4490654383407,610
-732.7750957960521,595
-730.1018622227365,541
-727.4293645445534,548
-724.7576025875837,564
-722.0865761778291,563
-719.4162851412126,581
-716.7467293035781,576
-714.0779084906909,662
-711.409822528237,655
-708.7424712418238,625
-706.0758544569796,617
-703.4099719991541,618
-700.7448236937178,609
-698.0804093659622,635
-695.4167288411002,604
-692.7537819442656,579
-690.0915685005134,612
-687.4300883348199,577
-684.7693412720819,621
-682.1093271371178,661
-679.4500457546669,620
-676.7914969493897,589
-674.1336805458676,611
-671.4765963686034,630
-668.8202442420206,663
-666.1646239904642,629
-663.5097354382001,596
-660.8555784094151,595
-658.2021527282176,589
-655.5494582186366,591
-652.8974947046223,609
-650.2462620100463,613
-647.5957599587009,676
-644.9459883742998,687
-642.2969470804776,676
-639.6486359007902,652
-637.0010546587141,673
-634.3542031776476,707
-631.7080812809096,664
-629.0626887917401,630
-626.4180255333008,672
-623.7740913286734,692
-621.1308860008619,700
-618.4884093727904,707
-615.8466612673046,651
-613.2056415071715,652
-610.5653499150785,667
-607.9257863136347,676
-605.28695052537,681
-602.6488423727357,642
-600.0114616781036,672
-597.3748082637674,690
-594.7388819519412,722
-592.1036825647604,711
-589.4692099242818,685
-586.8354638524829,717
-584.2024441712624,721
-581.5701507024403,728
-578.9385832677575,762
-576.3077416888759,777
-573.6776257873787,696
-571.0482353847704,745
-568.4195703024757,701
-565.7916303618415,723
-563.164415384135,723
-560.5379251905453,762
-557.9121596021815,711
-555.2871184400748,733
-552.6628015251767,731
-550.0392086783606,699
-547.4163397204204,730
-544.794194472071,726
-542.1727727539491,785
-539.5520743866118,832
-536.9320991905377,840
-534.3128469861261,897
-531.6943175936979,890
-529.0765108334947,842
-526.4594265256793,901
-523.8430644903358,1002
-521.2274245474689,1133
-518.612506517005,1213
-515.9983102187913,1254
-513.3848354725959,1361
-510.77208209810846,1613
-508.16004991493924,1708
-505.5487387426199,1639
-502.9381484006032,1664
-500.3282787082628,1596
-497.71912948489364,1446
-495.1107005497117,1232
-492.5029917218539,1090
-489.8960028203786,1005
-487.28973366426493,926
-484.68418407241325,907
-482.07935386364494,838
-479.47524285670266,838
-476.87185087025,893
-474.2691777228715,909
-471.66722323307334,920
-469.0659872192821,845
-466.4654694998459,865
-463.86566989303384,835
-461.26658821703614,809
-458.66822428996414,845
-456.07057792985,871
-453.4736489546475,903
-450.877437182231,881
-448.28194243039627,893
-445.68716451686,861
-443.09310325926003,839
-440.49975847515555,805
-437.9071299820263,795
-435.31521759727354,851
-432.72402113821954,848
-430.13354042210767,933
-427.5437752661022,887
-424.95472548728867,865
-422.36639090267386,917
-419.7787713291855,1019
-417.1918665836721,992
-414.60567648290385,956
-412.0202008435715,919
-409.4354394822874,930
-406.8513922155845,891
-404.26805885991723,949
-401.685439231661,966
-399.103533147112,977
-396.522340422488,954
-393.9418608739278,912
-391.3620943174908,909
-388.7830405691583,839
-386.2046994448317,854
-383.6270707603344,888
-381.05015433141045,870
-378.473949973725,823
-375.8984575028645,792
-373.32367673433623,735
-370.74960748356875,732
-368.1762495659117,700
-365.60360279663576,625
-363.03166699093265,632
-360.4604419639154,565
-357.8899275306178,551
-355.32012350599507,562
-352.7510297049233,566
-350.1826459421999,581
-347.61497203254316,536
-345.04800779059235,585
-342.4817530309082,602
-339.91620756797226,591
-337.35137121618743,617
-334.7872437898774,726
-332.22382510328725,688
-329.66111497058273,633
-327.09911320585127,599
-324.53781962310075,628
-321.9772340362607,642
-319.4173562591816,625
-316.8581861056348,645
-314.2997233893127,641
-311.7419679238294,623
-309.1849195227194,727
-306.62857799943856,729
-304.0729431673641,691
-301.51801483979375,672
-298.963792829947,598
-296.41027695096386,609
-293.85746701590574,597
-291.3053628377552,678
-288.7539642294155,714
-286.2032710037115,636
-283.65328297338897,682
-281.1039999511146,701
-278.5554217494762,745
-276.007548180983,834
-273.4603790580651,752
-270.9139141930734,677
-268.3681533982807,682
-265.8230964858798,665
-263.27874326798565,737
-260.7350935566336,763
-258.1921471637804,768
-255.6499039013039,790
-253.10836358100266,749
-250.56752601459698,785
-248.02739101372765,858
-245.48795838995704,835
-242.94922795476816,771
-240.41119951956557,840
-237.8738728956746,824
-235.33724789434166,762
-232.80132432673452,886
-230.2661020039418,848
-227.73158073697357,851
-225.19776033676033,890
-222.66464061415422,997
-220.1322213799284,978
-217.60050244477725,980
-215.06948361931552,1000
-212.53916471408013,928
-210.00954553952818,905
-207.48062590603843,931
-204.9524056239104,1021
-202.4248845033651,1146
-199.8980623545441,1020
-197.37193898751036,1067
-194.84651421224817,1089
-192.32178783866232,980
-189.79775967657952,976
-187.27442953574644,1023
-184.7517972258321,1042
-182.2298625564256,1050
-179.7086253370378,1086
-177.18808537710026,1119
-174.66824248596583,1080
-172.14909647290835,1149
-169.6306471471229,1092
-167.11289431772548,1014
-164.59583779375328,1003
-162.07947738416453,1195
-159.5638128978386,1447
-157.04884414357605,1470
-154.53457093009854,1288
-152.02099306604828,1290
-149.50811035998936,1304
-146.99592262040665,1233
-144.48442965570587,1429
-141.97363127421409,1412
-139.46352728417958,1375
-136.95411749377126,1459
-134.44540171107985,1540
-131.93737974411636,1466
-129.43005140081357,1306
-126.92341648902493,1525
-124.41747481652521,1634
-121.91222619101006,1939
-119.40767042009657,2321
-116.90380731132257,2717
-114.40063667214702,3302
-111.8981583099503,4047
-109.3963720320337,5321
-106.89527764561933,6464
-104.39487495785067,7458
-101.89516377579241,8276
-99.39614390642998,10337
-96.89781515667039,14559
-94.40017733334128,20167
-91.90323024319173,25999
-89.40697369289148,28185
-86.91140748903172,20881
-84.41653143812482,13255
-81.92234534660395,7757
-79.42884902082358,7077
-76.93604226705907,11468
-74.4439248915071,16987
-71.95249670028534,19970
-69.46175749943245,19038
-66.97170709490854,17864
-64.48234529259423,14906
-61.99367189829195,13265
-59.50568671772464,11643
-57.01838955653636,11378
-54.53178022029283,11985
-52.045858514480074,13697
-49.560624244506016,14651
-47.07607721569923,15150
-44.59221723330904,18092
-42.10904410250669,21359
-39.62655762838392,23064
-37.14475761595372,26570
-34.66364387015028,34487
-32.18321619582866,37648
-29.70347439776515,40882
-27.224418280657005,48205
-24.74604764912317,53718
-22.26836230770266,55571
-19.7913620608565,65036
-17.315046712966478,65036
-14.83941606833514,65036
-12.36446993118659,65036
-9.89020810566592,65036
-7.416630395839093,65036
-4.94373660569363,65036
-2.471526539137585,65036
-6.821210263296962E-13,65036
2.47084320796705,65036
4.941003281093458,65036
7.410480415786196,65036
9.879274808531363,65036
12.347386655893956,65036
14.814816154518212,65036
17.28156350112681,65036
19.74762889252179,65036
22.21301252558385,65036
24.67771459727237,23812
27.141735304626195,7072
29.605074844762612,6395
32.06773341487792,6098
34.52971121224755,5709
36.99100843422559,4889
39.45162527824516,5174
41.91156194181792,5311
44.370818622535126,5127
46.82939551806646,5249
49.287292826160524,4454
51.74451074464503,5039
54.201049471426245,5195
56.65690920448981,3234
59.112090141899785,3382
61.56659248179983,3026
64.02041642241159,3332
66.4735621620365,2968
68.92602989905402,3150
71.37781983192338,3302
73.82893215918205,3209
76.27936707944684,2966
78.72912479141326,2619
81.17820549385567,2162
83.62660938562783,2436
86.07433666566146,2149
88.5213875329681,2124
90.96776218663751,2095
93.41346082583925,2072
95.85848364982041,2332
98.30283085790859,2453
100.7465026495089,1934
103.18949922410604,1726
105.63182078126385,1907
108.07346752062438,1853
110.51443964190923,1805
112.95473734491827,1719
115.39436082953114,1893
117.83331029570547,1619
120.27158594347827,1704
122.7091879729652,1692
125.1461165843615,1905
127.58237197794062,1971
130.01795435405518,1999
132.4528639131364,1845
134.88710085569494,1590
137.32066538231982,1401
139.75355769367923,1355
142.1857779905207,1518
144.61732647366978,1360
147.04820334403132,1240
149.47840880258934,1222
151.90794305040674,1535
154.33680628862487,1761
156.76499871846443,1869
159.19252054122433,1819
161.61937195828352,1743
164.04555317109896,1816
166.47106438120693,1973
168.89590579022217,2019
171.320077599839,2093
173.7435800118302,2259
176.16641322804742,2265
178.58857745042144,2615
181.01007288096173,2465
183.43089972175687,2283
185.85105817497413,2280
188.27054844285988,2264
190.6893707277394,2192
193.10752523201643,2361
195.5250121581745,2449
197.9418317087751,2476
200.3579840864594,2434
202.7734694939469,2430
205.18828813403627,2517
207.6024402096051,2638
210.01592592360964,2551
212.42874547908548,2444
214.84089907914665,2357
217.2523869269868,2409
219.66320922587727,2484
222.0733661791695,2358
224.48285799029293,2452
226.8916848627572,2485
229.29984700014882,2489
231.7073446061355,2526
234.11417788446204,2462
236.520347038953,2337
238.92585227351185,2491
241.33069379212054,2472
243.73487179884035,2552
246.1383864978112,2538
248.541238093252,2512
250.9434267894609,2531
253.34495279081432,2486
255.74581630176783,2467
258.1460175268563,2414
260.54555667069314,2443
262.9444339379703,2414
265.3426495334594,2525
267.7402036620107,2730
270.1370965285529,2698
272.53332833809407,2634
274.9288992957214,2445
277.32380960660055,2427
279.718059475976,2447
282.1116491091717,2524
284.5045787115897,2389
286.89684848871195,2395
289.2884586460981,2296
291.67940938938807,2391
294.0697009242996,2462
296.4593334566299,2471
298.84830719225477,2504
301.23662233712923,2388
303.6242790972866,2419
306.01127767884,2317
308.39761828798066,2323
310.78330113097934,2211
313.16832641418534,2244
315.5526943440269,2252
317.9364051270112,2158
320.3194589697242,2201
322.70185607883093,2235
325.0835966610754,2065
327.4646809232805,2117
329.8451090723478,2109
332.2248813152577,2110
334.6039978590701,2195
336.9824589109231,2105
339.36026467803447,2144
341.7374153677,2135
344.113911187295,2100
346.48975234427337,2080
348.8649390461686,2123
351.2394715005918,1999
353.61334991523415,2062
355.9865744978655,2014
358.35914545633375,2064
360.73106299856715,2095
363.10232733257146,1976
365.47293866643247,2030
367.84289720831396,1945
370.2122031664593,1968
372.5808567491905,1974
374.9488581649083,1977
377.31620762209275,1992
379.6829053293021,1971
382.0489514951745,1924
384.4143463284262,1889
386.7790900378528,1970
389.14318283232853,2000
391.50662492080653,1916
393.86941651231916,1940
396.23155781597745,1926
398.5930490409713,1860
400.9538903965696,1924
403.3140820921202,1979
405.6736243370498,2009
408.03251734086336,1866
410.3907613131465,1894
412.74835646356166,1866
415.10530300185144,1875
417.4616011378372,1866
419.81725108141893,1863
422.1722530425758,1861
424.5266072313656,1932
426.880313857925,1927
429.2333731324701,1869
431.58578526529516,1872
433.9375504667738,1850
436.2886689473588,1787
438.63914091758113,1757
440.9889665880513,1783
443.33814616945835,1724
445.68667987257015,1790
448.03456790823395,1747
450.3818104873759,1808
452.72840782100013,1726
455.07436012019105,1775
457.41966759611057,1827
459.7643304600007,1715
462.10834892318155,1694
464.4517231970525,1789
466.79445349309174,1817
469.1365400228566,1812
471.4779829979826,1848
473.81878263018564,1801
476.15893913125876,1791
478.4984527130747,1835
480.8373235875855,1904
483.17555196682144,2016
485.5131380628919,1921
487.8500820879857,1973
490.1863842543697,2086
492.52204477439034,2069
494.8570638604725,2240
497.1914417251204,2428
499.52517858091653,2758
501.85827464052306,3138
504.19073011668036,3559
506.5225452222086,3803
508.85372017000566,4024
511.18425517304956,4005
513.514150444396,4333
515.8434061971808,5183
518.1720226446176,5662
520.4999999999999,5607
522.8273384766991,5280
525.1540382881666,4879
527.480099647932,4455
529.8055227696037,3462
532.1303078668694,2612
534.454455153496,2177
536.777964843328,1989
539.1008371502907,1914
541.4230722883866,1860
543.744670471698,1889
546.0656319143858,1854
548.3859568306899,1868
550.7056454349294,1834
553.0246979415016,1830
555.3431145648834,1727
557.6608955196306,1744
559.978041020377,1750
562.2945512818363,1749
564.6104265188006,1779
566.9256669461412,1742
569.2402727788082,1850
571.5542442318302,1834
573.8675815203156,1795
576.1802848594508,1836
578.4923544645015,1799
580.8037905508126,1809
583.114593333807,1834
585.4247630289875,1830
587.7342998519354,1733
590.0432040183106,1738
592.3514757438526,1798
594.6591152443794,1795
596.9661227357875,1776
599.2724984340531,1787
601.578242555231,1783
603.8833553154542,1786
606.1878369309362,1765
608.4916876179676,1810
610.7949075929192,1713
613.0974970722403,1724
615.3994562724587,1737
617.7007854101818,1749
620.0014847020951,1759
622.3015543649641,1801
624.6009946156324,1765
626.8998056710224,1717
629.1979877481361,1720
631.4955410640538,1741
633.7924658359349,1724
636.0887622810175,1814
638.3844306166192,1842
640.6794710601358,1842
642.9738838290426,1887
645.2676691408932,1820
647.5608272133207,1801
649.853358264037,1830
652.1452625108324,1819
654.4365401715764,1889
656.7271914642178,1893
