CollectionTime,9/20/2024 12:04:42 PM
ExposureUsed,3
CalibratedSpectrum
-962.7078968117929,668
-959.9714848408522,697
-957.2358232597828,676
-954.5009119013725,702
-951.7667505983302,737
-949.0333391832855,737
-946.3006774887896,733
-943.5687653473143,712
-940.837602591253,725
-938.1071890529199,740
-935.3775245645503,708
-932.6486089583007,720
-929.9204420662485,702
-927.1930237203925,705
-924.4663537526524,754
-921.7404319948689,790
-919.0152582788041,783
-916.2908324361409,782
-913.5671542984834,725
-910.8442236973568,700
-908.1220404642074,725
-905.4006044304027,712
-902.679915427231,706
-899.959973285902,671
-897.2407778375464,684
-894.5223289132158,719
-891.8046263438832,695
-889.0876699604426,715
-886.3714595937089,689
-883.6559950744183,670
-880.9412762332282,710
-878.2273029007168,681
-875.5140749073835,689
-872.8015920836489,667
-870.0898542598545,658
-867.3788612662631,662
-864.6686129330585,701
-861.9591090903457,678
-859.2503495681506,666
-856.5423341964203,647
-853.8350628050229,670
-851.1285352237478,658
-848.4227512823054,650
-845.7177108103272,721
-843.0134136373656,670
-840.3098595928943,672
-837.6070485063082,698
-834.9049802069229,710
-832.2036545239757,703
-829.5030712866244,699
-826.8032303239481,667
-824.1041314649472,679
-821.4057745385428,710
-818.7081593735775,700
-816.0112857988148,679
-813.3151536429393,684
-810.6197627345566,666
-807.9251129021936,686
-805.2312039742981,672
-802.5380357792392,683
-799.8456081453069,684
-797.1539209007124,697
-794.462973873588,727
-791.772766891987,753
-789.083299783884,733
-786.3945723771743,734
-783.7065844996748,725
-781.0193359791231,730
-778.3328266431781,708
-775.6470563194197,699
-772.9620248353489,690
-770.2777320183878,695
-767.5941776958798,679
-764.9113616950891,697
-762.2292838432011,666
-759.5479439673222,714
-756.8673418944801,741
-754.1874774516235,749
-751.5083504656222,709
-748.8299607632671,691
-746.15230817127,737
-743.475392516264,722
-740.7992136248035,780
-738.1237713233636,703
-735.4490654383407,682
-732.7750957960521,717
-730.1018622227365,756
-727.4293645445534,718
-724.7576025875837,759
-722.0865761778291,775
-719.4162851412126,760
-716.7467293035781,797
-714.0779084906909,768
-711.409822528237,778
-708.7424712418238,754
-706.0758544569796,737
-703.4099719991541,776
-700.7448236937178,764
-698.0804093659622,747
-695.4167288411002,778
-692.7537819442656,794
-690.0915685005134,821
-687.4300883348199,760
-684.7693412720819,814
-682.1093271371178,814
-679.4500457546669,811
-676.7914969493897,768
-674.1336805458676,769
-671.4765963686034,798
-668.8202442420206,796
-666.1646239904642,821
-663.5097354382001,847
-660.8555784094151,836
-658.2021527282176,828
-655.5494582186366,836
-652.8974947046223,844
-650.2462620100463,856
-647.5957599587009,877
-644.9459883742998,874
-642.2969470804776,870
-639.6486359007902,852
-637.0010546587141,855
-634.3542031776476,840
-631.7080812809096,835
-629.0626887917401,824
-626.4180255333008,822
-623.7740913286734,875
-621.1308860008619,863
-618.4884093727904,835
-615.8466612673046,847
-613.2056415071715,839
-610.5653499150785,881
-607.9257863136347,860
-605.28695052537,880
-602.6488423727357,830
-600.0114616781036,842
-597.3748082637674,850
-594.7388819519412,833
-592.1036825647604,840
-589.4692099242818,856
-586.8354638524829,877
-584.2024441712624,845
-581.5701507024403,881
-578.9385832677575,906
-576.3077416888759,912
-573.6776257873787,870
-571.0482353847704,835
-568.4195703024757,855
-565.7916303618415,839
-563.164415384135,840
-560.5379251905453,851
-557.9121596021815,880
-555.2871184400748,878
-552.6628015251767,910
-550.0392086783606,881
-547.4163397204204,875
-544.794194472071,936
-542.1727727539491,898
-539.5520743866118,923
-536.9320991905377,911
-534.3128469861261,979
-531.6943175936979,995
-529.0765108334947,990
-526.4594265256793,1122
-523.8430644903358,1295
-521.2274245474689,1403
-518.612506517005,1484
-515.9983102187913,1451
-513.3848354725959,1571
-510.77208209810846,1554
-508.16004991493924,1752
-505.5487387426199,1869
-502.9381484006032,2019
-500.3282787082628,1970
-497.71912948489364,1892
-495.1107005497117,1689
-492.5029917218539,1580
-489.8960028203786,1446
-487.28973366426493,1294
-484.68418407241325,1215
-482.07935386364494,1146
-479.47524285670266,1066
-476.87185087025,1076
-474.2691777228715,1087
-471.66722323307334,1080
-469.0659872192821,1146
-466.4654694998459,1122
-463.86566989303384,1122
-461.26658821703614,1156
-458.66822428996414,1077
-456.07057792985,1098
-453.4736489546475,1086
-450.877437182231,1079
-448.28194243039627,1070
-445.68716451686,1106
-443.09310325926003,1058
-440.49975847515555,1048
-437.9071299820263,1031
-435.31521759727354,1049
-432.72402113821954,1029
-430.13354042210767,1036
-427.5437752661022,1056
-424.95472548728867,1124
-422.36639090267386,1152
-419.7787713291855,1188
-417.1918665836721,1126
-414.60567648290385,1148
-412.0202008435715,1150
-409.4354394822874,1139
-406.8513922155845,1115
-404.26805885991723,1122
-401.685439231661,1135
-399.103533147112,1211
-396.522340422488,1146
-393.9418608739278,1121
-391.3620943174908,1090
-388.7830405691583,1091
-386.2046994448317,1059
-383.6270707603344,1033
-381.05015433141045,978
-378.473949973725,919
-375.8984575028645,894
-373.32367673433623,750
-370.74960748356875,747
-368.1762495659117,711
-365.60360279663576,676
-363.03166699093265,624
-360.4604419639154,606
-357.8899275306178,541
-355.32012350599507,545
-352.7510297049233,514
-350.1826459421999,544
-347.61497203254316,486
-345.04800779059235,521
-342.4817530309082,504
-339.91620756797226,530
-337.35137121618743,498
-334.7872437898774,482
-332.22382510328725,510
-329.66111497058273,514
-327.09911320585127,496
-324.53781962310075,515
-321.9772340362607,541
-319.4173562591816,531
-316.8581861056348,528
-314.2997233893127,565
-311.7419679238294,580
-309.1849195227194,579
-306.62857799943856,587
-304.0729431673641,527
-301.51801483979375,566
-298.963792829947,549
-296.41027695096386,518
-293.85746701590574,554
-291.3053628377552,606
-288.7539642294155,606
-286.2032710037115,632
-283.65328297338897,646
-281.1039999511146,644
-278.5554217494762,627
-276.007548180983,716
-273.4603790580651,663
-270.9139141930734,600
-268.3681533982807,652
-265.8230964858798,645
-263.27874326798565,714
-260.7350935566336,673
-258.1921471637804,680
-255.6499039013039,759
-253.10836358100266,735
-250.56752601459698,676
-248.02739101372765,719
-245.48795838995704,739
-242.94922795476816,764
-240.41119951956557,689
-237.8738728956746,716
-235.33724789434166,786
-232.80132432673452,822
-230.2661020039418,760
-227.73158073697357,766
-225.19776033676033,834
-222.66464061415422,952
-220.1322213799284,932
-217.60050244477725,871
-215.06948361931552,882
-212.53916471408013,830
-210.00954553952818,839
-207.48062590603843,819
-204.9524056239104,740
-202.4248845033651,804
-199.8980623545441,901
-197.37193898751036,934
-194.84651421224817,1009
-192.32178783866232,890
-189.79775967657952,914
-187.27442953574644,962
-184.7517972258321,973
-182.2298625564256,828
-179.7086253370378,816
-177.18808537710026,877
-174.66824248596583,994
-172.14909647290835,1026
-169.6306471471229,974
-167.11289431772548,863
-164.59583779375328,944
-162.07947738416453,1227
-159.5638128978386,1539
-157.04884414357605,1423
-154.53457093009854,1568
-152.02099306604828,1170
-149.50811035998936,1059
-146.99592262040665,1184
-144.48442965570587,1353
-141.97363127421409,1588
-139.46352728417958,1717
-136.95411749377126,1600
-134.44540171107985,1343
-131.93737974411636,1243
-129.43005140081357,1399
-126.92341648902493,1758
-124.41747481652521,2161
-121.91222619101006,2927
-119.40767042009657,3510
-116.90380731132257,3816
-114.40063667214702,4663
-111.8981583099503,5095
-109.3963720320337,5960
-106.89527764561933,6265
-104.39487495785067,7041
-101.89516377579241,9386
-99.39614390642998,14494
-96.89781515667039,18483
-94.40017733334128,19338
-91.90323024319173,18786
-89.40697369289148,15070
-86.91140748903172,8884
-84.41653143812482,7520
-81.92234534660395,8654
-79.42884902082358,9327
-76.93604226705907,9802
-74.4439248915071,10110
-71.95249670028534,9581
-69.46175749943245,8008
-66.97170709490854,7065
-64.48234529259423,7410
-61.99367189829195,8356
-59.50568671772464,8170
-57.01838955653636,8643
-54.53178022029283,9901
-52.045858514480074,12057
-49.560624244506016,14098
-47.07607721569923,14995
-44.59221723330904,18013
-42.10904410250669,20810
-39.62655762838392,21804
-37.14475761595372,22075
-34.66364387015028,27736
-32.18321619582866,28213
-29.70347439776515,29414
-27.224418280657005,34085
-24.74604764912317,38185
-22.26836230770266,48411
-19.7913620608565,65034
-17.315046712966478,65034
-14.83941606833514,65034
-12.36446993118659,65034
-9.89020810566592,65034
-7.416630395839093,65034
-4.94373660569363,65034
-2.471526539137585,65034
-6.821210263296962E-13,65034
2.47084320796705,65034
4.941003281093458,65034
7.410480415786196,65034
9.879274808531363,65034
12.347386655893956,65034
14.814816154518212,65034
17.28156350112681,65034
19.74762889252179,65034
22.21301252558385,25664
24.67771459727237,6958
27.141735304626195,6093
29.605074844762612,5201
32.06773341487792,4353
34.52971121224755,4008
36.99100843422559,3895
39.45162527824516,3758
41.91156194181792,3844
44.370818622535126,3372
46.82939551806646,2909
49.287292826160524,3310
51.74451074464503,3141
54.201049471426245,2691
56.65690920448981,2518
59.112090141899785,2567
61.56659248179983,2535
64.02041642241159,2614
66.4735621620365,2603
68.92602989905402,2813
71.37781983192338,2578
73.82893215918205,2110
76.27936707944684,1658
78.72912479141326,2066
81.17820549385567,1836
83.62660938562783,1501
86.07433666566146,1474
88.5213875329681,1477
90.96776218663751,1538
93.41346082583925,1788
95.85848364982041,2150
98.30283085790859,1774
100.7465026495089,1651
103.18949922410604,1598
105.63182078126385,1339
108.07346752062438,1526
110.51443964190923,1418
112.95473734491827,1333
115.39436082953114,1288
117.83331029570547,1558
120.27158594347827,1634
122.7091879729652,1525
125.1461165843615,1361
127.58237197794062,1243
130.01795435405518,1177
132.4528639131364,1247
134.88710085569494,1374
137.32066538231982,1468
139.75355769367923,1195
142.1857779905207,1135
144.61732647366978,1227
147.04820334403132,1247
149.47840880258934,1319
151.90794305040674,1363
154.33680628862487,1398
156.76499871846443,1563
159.19252054122433,1774
161.61937195828352,1863
164.04555317109896,2084
166.47106438120693,2241
168.89590579022217,2584
171.320077599839,2706
173.7435800118302,2758
176.16641322804742,2977
178.58857745042144,3065
181.01007288096173,3253
183.43089972175687,2973
185.85105817497413,3038
188.27054844285988,3220
190.6893707277394,3126
193.10752523201643,3121
195.5250121581745,3214
197.9418317087751,3275
200.3579840864594,3279
202.7734694939469,3458
205.18828813403627,3598
207.6024402096051,3594
210.01592592360964,3424
212.42874547908548,3380
214.84089907914665,3297
217.2523869269868,3355
219.66320922587727,3346
222.0733661791695,3366
224.48285799029293,3335
226.8916848627572,3461
229.29984700014882,3494
231.7073446061355,3543
234.11417788446204,3557
236.520347038953,3556
238.92585227351185,3672
241.33069379212054,3896
243.73487179884035,3871
246.1383864978112,3870
248.541238093252,3807
250.9434267894609,3886
253.34495279081432,4003
255.74581630176783,3993
258.1460175268563,4217
260.54555667069314,4062
262.9444339379703,4068
265.3426495334594,3940
267.7402036620107,3852
270.1370965285529,3675
272.53332833809407,3534
274.9288992957214,3286
277.32380960660055,3238
279.718059475976,3257
282.1116491091717,3071
284.5045787115897,3096
286.89684848871195,2994
289.2884586460981,3074
291.67940938938807,3134
294.0697009242996,3131
296.4593334566299,3052
298.84830719225477,3083
301.23662233712923,3084
303.6242790972866,2987
306.01127767884,2867
308.39761828798066,2913
310.78330113097934,2830
313.16832641418534,2697
315.5526943440269,2651
317.9364051270112,2695
320.3194589697242,2605
322.70185607883093,2627
325.0835966610754,2564
327.4646809232805,2664
329.8451090723478,2539
332.2248813152577,2580
334.6039978590701,2554
336.9824589109231,2575
339.36026467803447,2557
341.7374153677,2404
344.113911187295,2440
346.48975234427337,2445
348.8649390461686,2538
351.2394715005918,2466
353.61334991523415,2533
355.9865744978655,2442
358.35914545633375,2438
360.73106299856715,2443
363.10232733257146,2444
365.47293866643247,2363
367.84289720831396,2410
370.2122031664593,2427
372.5808567491905,2392
374.9488581649083,2387
377.31620762209275,2367
379.6829053293021,2277
382.0489514951745,2296
384.4143463284262,2264
386.7790900378528,2299
389.14318283232853,2362
391.50662492080653,2320
393.86941651231916,2357
396.23155781597745,2318
398.5930490409713,2291
400.9538903965696,2216
403.3140820921202,2328
405.6736243370498,2282
408.03251734086336,2216
410.3907613131465,2245
412.74835646356166,2255
415.10530300185144,2292
417.4616011378372,2303
419.81725108141893,2174
422.1722530425758,2238
424.5266072313656,2250
426.880313857925,2270
429.2333731324701,2279
431.58578526529516,2267
433.9375504667738,2263
436.2886689473588,2167
438.63914091758113,2166
440.9889665880513,2220
443.33814616945835,2117
445.68667987257015,2173
448.03456790823395,2088
450.3818104873759,2135
452.72840782100013,2107
455.07436012019105,2203
457.41966759611057,2268
459.7643304600007,2115
462.10834892318155,2180
464.4517231970525,2082
466.79445349309174,2128
469.1365400228566,2199
471.4779829979826,2112
473.81878263018564,2178
476.15893913125876,2211
478.4984527130747,2363
480.8373235875855,2311
483.17555196682144,2378
485.5131380628919,2424
487.8500820879857,2467
490.1863842543697,2642
492.52204477439034,2809
494.8570638604725,3044
497.1914417251204,3458
499.52517858091653,3730
501.85827464052306,4030
504.19073011668036,4139
506.5225452222086,4320
508.85372017000566,4127
511.18425517304956,4143
513.514150444396,4532
515.8434061971808,5831
518.1720226446176,6672
520.4999999999999,6757
522.8273384766991,6491
525.1540382881666,6123
527.480099647932,5288
529.8055227696037,4193
532.1303078668694,3192
534.454455153496,2737
536.777964843328,2424
539.1008371502907,2311
541.4230722883866,2303
543.744670471698,2254
546.0656319143858,2208
548.3859568306899,2136
550.7056454349294,2195
553.0246979415016,2204
555.3431145648834,2155
557.6608955196306,2121
559.978041020377,2158
562.2945512818363,2171
564.6104265188006,2153
566.9256669461412,2222
569.2402727788082,2190
571.5542442318302,2226
573.8675815203156,2178
576.1802848594508,2291
578.4923544645015,2254
580.8037905508126,2301
583.114593333807,2209
585.4247630289875,2171
587.7342998519354,2182
590.0432040183106,2265
592.3514757438526,2259
594.6591152443794,2267
596.9661227357875,2229
599.2724984340531,2226
601.578242555231,2254
603.8833553154542,2203
606.1878369309362,2141
608.4916876179676,2215
610.7949075929192,2228
613.0974970722403,2220
615.3994562724587,2135
617.7007854101818,2195
620.0014847020951,2136
622.3015543649641,2270
624.6009946156324,2210
626.8998056710224,2275
629.1979877481361,2201
631.4955410640538,2281
633.7924658359349,2296
636.0887622810175,2265
638.3844306166192,2344
640.6794710601358,2256
642.9738838290426,2279
645.2676691408932,2273
647.5608272133207,2332
649.853358264037,2242
652.1452625108324,2364
